language,precision,recall,accuracy,f1-score,specificity,samples
af,99.88,99.7,99.99,99.79,100,10000
am,100,89.01,99.99,94.19,100,537
ar,99.88,99.92,100,99.9,100,10000
as,41.8,100,99.96,58.96,99.96,181
az,99.83,17.66,98.71,30.01,100,10000
be,99.99,99.69,99.99,99.84,100,10000
bg,99.99,99.82,100,99.9,100,10000
bn,100,91.3,99.86,95.45,100,10000
bs,37.48,61.64,97.79,46.62,98.37,10000
ca,99.99,99.13,99.99,99.56,100,10000
cs,99.96,99.71,99.99,99.83,100,10000
cy,99.99,99.96,100,99.97,100,10000
da,99.82,99.42,99.99,99.62,100,10000
de,99.7,99.3,99.98,99.5,100,10000
el,100,99.66,99.99,99.83,100,10000
en,78.32,99.47,99.56,87.64,99.56,10000
es,99.78,96.66,99.94,98.2,100,10000
et,100,99.89,100,99.94,100,10000
fa,99.5,99.81,99.99,99.66,99.99,10000
fi,100,99.99,100,99.99,100,10000
fr,99.74,99.71,99.99,99.72,100,10000
ga,100,99.96,100,99.98,100,2696
gl,99.82,98.1,99.97,98.95,100,10000
gu,99.99,100,100,99.99,100,10000
he,100,100,100,100,100,10000
hi,99.52,84.21,99.75,91.23,99.99,10000
hr,46.48,60.36,98.29,52.52,98.9,10000
hu,99.99,99.67,99.99,99.83,100,10000
hy,99.77,99.55,100,99.66,100,1775
id,83.24,92.46,99.59,87.61,99.7,10000
ig,99.72,100,100,99.86,100,359
is,100,91.47,99.87,95.54,100,10000
it,99.97,99.66,99.99,99.81,100,10000
ja,99.98,99.87,100,99.92,100,10000
ka,99.98,57.6,99.34,73.09,100,10000
kk,99.98,96,99.94,97.95,100,10000
km,99.93,98.89,99.98,99.41,100,10000
kn,100,97.65,99.98,98.81,100,6073
ko,99.97,99.98,100,99.98,100,10000
lb,45.18,100,99.89,62.24,99.89,577
lt,99.96,99.4,99.99,99.68,100,10000
lv,100,99.72,100,99.86,100,10000
mk,100,99.69,100,99.84,100,10000
ml,99.14,99.86,99.98,99.5,99.99,10000
mn,100,46.18,99.2,63.18,100,9565
mr,97.83,53.72,99.93,69.36,100,1007
ms,91.79,80.97,99.59,86.04,99.89,10000
my,100,98.11,99.97,99.05,100,10000
ne,99.79,99.95,100,99.87,100,10000
nl,99.86,99.74,99.99,99.8,100,10000
no,99.56,99.57,99.99,99.57,99.99,10000
or,100,100,100,100,100,185
pl,99.99,99.94,100,99.96,100,10000
ps,99.82,99.45,100,99.63,100,547
pt,99.86,99.44,99.99,99.65,100,10000
ro,100,99.89,100,99.94,100,10000
ru,99.97,99.22,99.99,99.59,100,10000
sd,99.93,99.99,100,99.96,100,7666
sk,99.89,99.88,100,99.88,100,10000
sl,99.77,99.81,99.99,99.79,100,10000
so,0,0,99.97,0,100,194
sr,98.24,5.01,98.51,9.53,100,10000
sv,99.91,99.85,100,99.88,100,10000
sw,100,98.37,99.97,99.18,100,10000
ta,100,89.39,99.83,94.4,100,10000
te,100,95.22,99.93,97.55,100,10000
th,100,99.36,99.99,99.68,100,10000
tl,100,91.22,99.86,95.41,100,10000
tr,99.67,99.91,99.99,99.79,99.99,10000
uk,99.99,99.93,100,99.96,100,10000
ur,99.54,99.91,99.99,99.73,99.99,10000
uz,97.06,100,100,98.51,100,66
vi,99.99,99.84,100,99.91,100,10000
xh,100,100,100,100,100,10000
zh,98.44,99.38,99.97,98.91,99.98,10000
Micro,92.7,92.7,99.85,92.7,99.93,641428
Macro,94.79,91.72,99.85,91.62,99.95,641428
