language,precision,recall,accuracy,f1-score,specificity,samples
af,43.51,90.33,99.94,58.73,99.95,4407
am,77.19,99.68,100,87.01,100,309
ar,99.53,98.8,99.99,99.16,100,68392
as,99.16,92.19,99.99,95.55,100,14681
ast,0.93,70.32,99.38,1.84,99.39,812
az,56.23,93.36,99.93,70.19,99.93,9002
be,89.89,94.66,99.98,92.21,99.98,14276
bg,83.27,92.33,99.93,87.57,99.95,25367
bn,92.16,99.82,99.99,95.83,99.99,15806
bs,3.83,38.22,99.82,6.97,99.83,1740
ca,53.09,87.48,99.91,66.08,99.92,9969
ceb,18.66,53.72,99.95,27.7,99.96,1705
ckb,92.85,97.87,99.99,95.29,99.99,12600
cs,97.81,91.11,99.91,94.34,99.98,84123
cy,85.26,91.16,100,88.12,100,1777
da,98.3,80.51,99.86,88.52,99.99,65861
de,99.87,98.37,99.87,99.12,99.99,727114
el,99.89,99.94,100,99.92,100,40218
en,99.91,99.46,99.87,99.68,99.98,1986627
es,97.32,87.89,99.39,92.36,99.89,415801
et,90.4,92.25,99.99,91.32,99.99,6115
fa,97.84,99.47,99.99,98.65,99.99,31457
fi,99.64,97.99,99.96,98.81,99.99,151584
fr,99.2,97.74,99.79,98.46,99.94,673450
ga,82.16,95.63,99.99,88.38,99.99,2972
gl,19.32,79.86,99.75,31.11,99.76,7085
gu,57.93,100,100,73.36,100,168
ha,93.11,90.04,99.96,91.55,99.99,21821
he,99.98,100,100,99.99,100,209347
hi,94.75,98.39,99.99,96.54,99.99,15624
hr,27.94,56.49,99.89,37.39,99.91,6006
hu,99.9,98.42,99.93,99.16,100,421697
hy,99.08,99.99,100,99.53,100,29696
id,90.18,79.53,99.92,84.52,99.98,25952
ig,17.44,73.91,100,28.22,100,46
is,98.8,97.8,100,98.3,100,13390
it,99.86,92.81,99.31,96.2,99.99,935157
ja,99.96,99.96,100,99.96,100,246319
jv,17.25,55.45,99.96,26.32,99.96,1430
ka,99.24,99.97,100,99.61,100,7074
kam,0.35,60,99.98,0.69,99.98,10
kk,89.32,97.42,99.99,93.19,99.99,4385
km,95.92,99.43,100,97.65,100,2461
kn,74.88,100,100,85.64,100,310
ko,98.24,97.86,99.99,98.05,100,14509
ky,61.89,94.22,100,74.7,100,536
lb,5.13,80.65,99.84,9.65,99.85,1023
lg,20.44,70,99.99,31.65,99.99,250
ln,78.42,92.95,99.98,85.07,99.99,4781
lo,97.86,100,100,98.92,100,229
lt,99.55,95.99,99.94,97.74,99.99,131515
lv,96.08,97.13,99.99,96.61,100,12480
mi,12.52,91.22,99.97,22.01,99.97,410
mk,95.5,87.38,99.87,91.26,99.97,78244
ml,98.32,100,100,99.15,100,878
mn,95.47,98.93,100,97.17,100,2792
mr,99.85,99.44,99.99,99.65,100,77592
ms,51.52,77.28,99.93,61.82,99.94,7550
mt,20.84,57.45,99.98,30.59,99.98,691
my,94.94,99.66,100,97.24,100,584
ne,92.87,98.64,100,95.67,100,4500
nl,99.27,95.23,99.89,97.21,99.99,193399
ny,4.12,60,100,7.71,100,25
oc,51.39,64.37,99.78,57.16,99.86,22598
om,3.24,70,100,6.19,100,10
or,91.38,100,100,95.5,100,403
pa,98.63,98.63,100,98.63,100,219
pl,99.65,98.82,99.98,99.23,100,132808
ps,28.75,97.87,100,44.44,100,47
pt,99.45,93.29,99.68,96.27,99.98,437510
ro,97.94,97.6,99.98,97.77,99.99,37205
ru,99.31,99.12,99.82,99.22,99.91,1140746
sd,4.24,83.33,100,8.06,100,6
sk,80.56,88.82,99.91,84.49,99.94,27240
sl,54.19,76.77,99.97,63.53,99.98,3388
sn,1.11,57.45,99.98,2.19,99.98,47
so,10.95,82.61,99.99,19.33,99.99,161
sr,72.76,51.28,99.65,60.16,99.9,50762
sv,94.62,96.24,99.95,95.43,99.97,56297
sw,96.01,89.69,99.99,92.74,100,4529
ta,91.07,100,100,95.33,100,561
te,63.95,100,100,78.01,100,314
tg,1.16,95.65,99.94,2.3,99.94,69
th,99.43,99.96,100,99.69,100,6827
tl,99.52,92.57,99.94,95.92,100,76772
tr,99.89,97.97,99.84,98.92,99.99,739792
uk,98.88,94.78,99.88,96.78,99.98,187391
umb,0.43,46.67,99.97,0.84,99.97,30
ur,92.65,99.03,100,95.74,100,2687
uz,73.44,67.76,99.99,70.48,100,1163
vi,99.39,99.77,100,99.58,100,27253
wo,0.58,46.73,99.91,1.15,99.91,107
xh,29.34,63.57,100,40.15,100,258
yo,4.08,93.04,99.97,7.81,99.97,115
zh,99.4,99.93,99.99,99.66,99.99,98286
zu,15.03,78.41,100,25.23,100,88
Micro,96.47,96.47,99.93,96.47,99.96,9901820
Macro,69.88,87.87,99.93,72.71,99.97,9901820
