,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,bs,"Dosad niko nije odgovarao za ovaj zločin. Kantonalno tužilaštvo u Mostaru poslalo je Haškom tribunalu ovaj predmet na ocjenu. Među osumnjičenima za ovaj zločin nalaze se zapovjednik Kažnjeničke bojne Mladen Naletilić, zapovjednik Druge brigade HVO-a Ilija Vrljić, zapovjednik Bjelopoljske bojne Marko Radić Maka, ministar odbrane Herceg-Bosne Bruno Stojić, te pripadnici HVO-a Darko Tadić Konta i Brano Savić Cojo."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
,so,"je - meeleeye; Preni iun je la mano (= lia), per la mano (= sia).Konduki iun je la nazo. (je estas rolvorteto sen difinita signifo. Ĝenerale oni evitu je, se pli bona alternativo ekzistas.)"
,hr,"Colvin je rođen u vojnoj bazi Fort Lee, Virginia, gdje su mu roditelji doselili iz Berlina. Njegov je otac bio američki vojnik stacioniran u Berlinu, a majka Njemica. Roditelji su mu se rastali u njegovom prijelaznom periodu iz dječaka u mladića te je Colvin sa sestrom i majkom živio u Berlinu do svoje petnaeste godine, kada su svi preselili u Forest Hills, općinu New Yorka u četvrti Queens. Tamo je sreo Johna Cummingsa i Thomasa Erdelyija (kasnije poznati kao Johnny i Tommy ''''Ramone''''), s kojima je svirao u sastavu imena The Tangerine Puppets, nazvanom prema Donovanovoj skladbi."
,hr,"Kada od gostiju primi narudžbu, prenese ih osoblju u kuhinji (kuharu) ili na šanku (šankeru) i vodi računa o tome da goste podvore što brže i kvalitetnije. Konobarsko zanimanje uključuje i druge poslove vezane uz posluživanje gostiju, kao što su postavljanje stolova i njihovo pospremanje nakon upotrebe te ispostavljanje računa i naplata usluga."
,hr,"Na mjestu današnjeg Mekinjiša je bilo jedno ranije racko selo, koje je bilo razoreno, a nalazilo se u dolini između Hajmaša i iza današnjeg sela. Današnje selo je primilo njegovo ime."
,fr,"Inscriptions antiques des Pyrénées. Hitzaurrea M. Albert Lebèguek eginda. Tolosa, XII-576p. (Bibliothèque méridionale. 2e série,1892. ; 2). Berrargitalpena fakzimilean, Tolosa, ESPER, 1990."
,mk,"Г'л'бово, Босилково, Вишнево, В'лчан Дол, Глогино, Давидково, Две Тополи, Дебелјаново, Дрјанка, Загражден, Крстатица, Баните, Малка Арда, Малко Крушево, Орјаховец, Планинско, Рибен Дол, Сливка, Стрница Траве"
,ms,"Puncak Jaya atau Gunung Carstensz merupakan sebuah gunung yang terdapat di pulau Papua Barat, Indonesia. Dengan ketinggian 4,884 meter. Gunung ini yang dulu pernah bernama Puntjak Soekarno adalah salah satu dari Tujuh Puncak Utama dunia. Gunung tertinggi pulau New Guinea ini juga merupakan gunung tertinggi di Indonesia dan Oceania."
,bs,"Najčešće se javlja u dramama, animiranim crtanima i filmu. Također je moguće monologom nazvati i pjesmu koja je govor ili misli jedne osobe."
,bg,"Walter Benjamin: Briefe an Siegfried Kracauer. Mit 4 Briefen von Siegfried Kracauer an Walter Benjamin. Marbach am Neckar: Dt. Schillergesellschaft, 1987."
,bs,"Na izborima za Općinsko vijeće izašlo je ukupno 13.134 glasača (61,42% od ukupnog broja), a od toga je 12.279 (93,49%) glasova bilo važećih, te 855 (6,51%) nevažećih. Birano je ukupno 25 članova Vijeća, te su oni izabrani po broju osvojenih glasova po listama, dok je odabir predstavnika iz pojedine partije, vršen po najvećem broju glasova. Najviše glasova dobila je Stranka demokratske akcije 3.216 (26,19% od ukupnog broja važećih glasova)."
,so,"pra- - “antaŭ tre longa tempo, primitiva”; origino de la mondo -(asal, bilaw)(da, weynann); tempo → pratempo = la komenca tempo de la homaro aŭ de la mondo; (avino - ayeeyo; mocooyo; avo - awow); da': (patro); gabow: (avo); kabax: praavo, praavino"
,wo,"art/o - Fànn; belartoj -; arĥitekturo(arkitekturo - (..); arkitektura fako - ; Beletro; Beletro (aux belliteraturo); beletro - (..), muziko - Way , skulptarto --> (skulptartisto - ); pentrarto - );"
,hr,"Bolji poznavatelji gange kažu da je potekla iz Imotske krajine, tj. da su joj izvori u Imotsko-bekijskom polju. U korist ovome govore i svjedočenja starosjedilaca Ljubuškog i okolice koji kažu da je ganga u njihov kraj došla preko Posušja i Bekije. Prema tvrdnjama istraživača, ganga je, kao zaseban glazbeni oblik, relativno novija pojava, nastala polovicom 19. stoljeća. Zapravo je ganga nastala kao spoj mnoštva arhaičnih strukturalnih elemenata, ali uz sve to bila je uočljivo različita od svojih prethodnica i imala je nešto prepoznatljivo što ju je činilo drugačijom i novom. Ganga je najveći dio ''''uzela'''' od tzv. ojkanja (kojoj je prethodilo), od zvuka gusala i veoma starih napjeva u kojima su oba glasa pjevala tekst."
,ln,"Mwǎmba tǒ mwǎmba-ngúba ezalí ngúba iye bakalingí libosó, nsima banyíkí mpé baekómísí pɔtɔpɔ́tɔ o masíni, o libángá tǒ mpé libáyá. Bakokí kolíya yangó o límpa, o míkáté tǒ mpé bakolámbela pɛpɛ súpú."
,en,"Dale Mayer, The Complete Guide to Companion Planting: Everything You Need to Know to Make Your Garden Succesfull, 2010, Atlantic Publishing Group, Google'i raamatu veebiversioon (vaadatud 11.05.2014) (inglise keeles)"
,wo,"tekst/o - (skribi vortojn); (Vorta konsisto de dokumento, ordinare de skribaĵo;) khudbad, oroh, qowl); (gazeto - [[]]; libro - [[]], [[]]); (gazetoteksto, libroteksto)(skribo - ; skribisto, verkisto - ; skriba - ;); tajpi - fi êrô kõwé;"
,hr,"Francusko carstvo označava Francusku s kolonijalnim posjedima, u raznim oblicima, od početka 17. stoljeća pa sve do 1960-tih godina. U 19. i 20. stoljeću franuski kolonijalni imperij je bio drugi po veličini u svijetu, iza Britanskog Imperija. Na svom vrhuncu, između dva svjetska rata (1919. i 1939.) francusko se kolonijalno carstvo prostiralo na preko 13,000,000 km² površine što je zajedno sa europskom Francuskom činilo oko 8,7% svjetskoga teritorija."
,tg,"Ходжиматов М., Наврузшоева Г. Всхожесть семян и развитие проростков Heracleum lehmannianum Bunge в естественных условиях//Известия АН РТ. Отд. биол. и мед. наук. 2008, №3 (164);"
,hr,"Postoji i mišljenje prema kojem izvor gnosticizma treba tražiti u psihološkom i religioznom raspoloženju prvog i drugog stoljeća, koje karakterizira egzistencijalna tjeskoba."
,bs,"Prvi Lakci na islam, kojeg šire arapski trgovci, prelaze već u 8. stoljeću, no glavnina naroda prelazi na islam tek u 15. stoljeću dolaskom perzijskih trgovaca, kao i mongolskom invazijom u 16. i 17. stoljeću. Postupak prelaska na islam kod njih je veoma spor, mnogo sporiji nego kod ostalih Dagestanaca."
,hr,"Gnoza je sekta koja je težila sintetizirati kršćanstvo sa židovskim učenjem i poganskom filozofijom; gnosticizam, -zma - učenje gnostika. (B. Klaić, Veliki rječnik stranih riječi, Zora, 1963)"
