language,precision,recall,accuracy,f1-score,specificity,samples
af,100,100,100,100,100,813
am,100,100,100,100,100,98
ar,98.43,100,99.99,99.21,99.99,251
as,99.84,100,100,99.92,100,636
az,100,98.76,99.99,99.38,100,805
be,99.78,97.63,99.96,98.69,100,929
bg,99.88,99.43,99.99,99.66,100,872
bn,97.14,99.84,99.97,98.47,99.97,612
bs,73.53,78.58,99.37,75.97,99.64,845
ca,98.72,97.58,99.95,98.15,99.98,869
cs,99.55,99.78,99.99,99.66,99.99,893
cy,99.74,100,100,99.87,100,756
da,100,99.07,99.99,99.53,100,863
de,95.84,98.08,99.91,96.95,99.94,939
el,99.89,99.77,100,99.83,100,882
en,99.39,92.25,99.67,95.68,99.98,2631
es,97.47,97.47,99.93,97.47,99.97,908
et,99.5,99.13,99.98,99.32,99.99,805
fa,57.89,100,99.99,73.33,99.99,11
fi,99.88,99.76,100,99.82,100,835
fr,96.47,98.44,99.9,97.44,99.93,1278
ga,99.89,99.77,100,99.83,100,877
gl,99.55,98.45,99.97,99,99.99,902
gu,99.61,100,100,99.81,100,773
ha,99.76,99.76,99.99,99.76,100,837
he,100,100,100,100,100,864
hi,99.87,99.87,100,99.87,100,757
hr,77.98,76.96,99.44,77.47,99.72,842
hu,98.92,99.67,99.98,99.29,99.98,918
hy,99.89,98.89,99.98,99.39,100,903
id,96.1,96.88,99.91,96.48,99.95,864
ig,99.51,100,99.99,99.75,99.99,806
is,99.87,100,100,99.93,100,745
it,97.61,95.54,99.91,96.56,99.97,896
ja,100,96.91,100,98.43,100,97
jv,99.88,98.21,99.98,99.03,100,836
ka,99.89,99.33,99.99,99.61,100,891
kk,99.74,99.36,99.99,99.55,100,781
km,99.25,100,100,99.63,100,133
kn,100,100,100,100,100,763
ko,100,100,100,100,100,867
ky,100,98.85,99.99,99.42,100,869
lb,91.93,96.32,99.85,94.08,99.9,816
lg,99.24,100,99.99,99.62,99.99,649
ln,99.85,88.83,99.87,94.02,100,743
lo,99.78,94.11,99.96,96.86,100,492
lt,99.13,98.7,99.97,98.91,99.99,923
lv,100,99.66,100,99.83,100,873
mi,99.69,99.9,99.99,99.79,100,959
mk,99.89,99.54,99.99,99.71,100,878
ml,100,100,100,100,100,573
mn,100,100,100,100,100,749
mr,99.83,100,100,99.91,100,586
ms,96.83,97.51,99.93,97.17,99.96,845
mt,98.57,99.55,99.97,99.06,99.98,898
my,100,100,100,100,100,76
ne,99.83,99.83,100,99.83,100,575
nl,98.36,99.55,99.98,98.95,99.98,662
oc,95.85,98.3,99.94,97.06,99.95,705
om,99.52,99.76,99.99,99.64,99.99,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.24,100,99.98,99.11,99.98,892
ps,100,97.94,100,98.96,100,97
pt,98.08,99.32,99.97,98.7,99.97,876
ro,99.78,99.78,99.99,99.78,100,899
ru,91.22,99.89,99.87,95.36,99.87,894
sd,97.06,97.06,100,97.06,100,34
sk,99.55,99.55,99.99,99.55,99.99,896
sl,99.77,99.32,99.99,99.55,100,882
sn,98.62,99.48,99.98,99.05,99.99,575
so,99.6,93.5,99.92,96.45,100,800
sr,99.88,94.1,99.92,96.9,100,864
sv,99.63,99.75,99.99,99.69,100,808
sw,100,99.87,100,99.93,100,764
ta,99.6,100,100,99.8,100,740
te,99.61,100,100,99.81,100,773
tg,99.11,97.9,99.96,98.5,99.99,906
th,90.43,100,99.96,94.97,99.96,274
tl,100,99.49,99.99,99.74,100,785
tr,96.28,99.88,99.95,98.05,99.95,830
uk,99.45,99.02,99.98,99.23,99.99,914
ur,99.45,100,100,99.72,100,180
uz,100,99.08,99.99,99.54,100,764
vi,100,99.87,100,99.94,100,792
wo,99.66,95.44,99.93,97.5,100,921
xh,99.87,99.62,99.99,99.75,100,799
yo,96.6,98.13,99.94,97.36,99.96,694
zh,97.59,100,100,98.78,100,81
Micro,98.06,98.06,99.96,98.06,99.98,66755
Macro,97.95,98.35,99.96,98.07,99.98,66755
