language,precision,recall,accuracy,f1-score,specificity,samples
af,91.85,92.58,99.7,92.22,99.84,2009
bg,92.71,91.19,99.69,91.94,99.86,2009
bn,100.0,99.05,99.98,99.52,100.0,2009
ca,95.54,90.8,99.61,93.11,99.87,3021
ceb,96.33,87.66,99.7,91.79,99.93,2009
cs,95.04,91.54,99.74,93.26,99.91,2009
da,96.09,83.28,99.61,89.23,99.93,2009
de,92.03,93.13,99.71,92.58,99.84,2009
el,100.0,99.55,99.99,99.78,100.0,2009
en,93.86,88.25,99.66,90.97,99.89,2009
eo,93.45,89.45,99.67,91.4,99.88,2009
es,89.19,85.81,99.52,87.47,99.79,2009
eu,97.07,85.81,99.67,91.1,99.95,2009
fi,95.78,95.97,99.84,95.87,99.92,2009
fil,93.15,91.39,99.7,92.26,99.87,2009
fr,94.31,88.25,99.67,91.18,99.89,2009
gl,87.84,84.87,99.48,86.33,99.77,2009
gu,100.0,98.81,99.98,99.4,100.0,2009
hi,90.55,92.48,99.67,91.5,99.81,2009
hr,95.39,52.51,99.03,67.74,99.95,2009
hu,96.05,94.47,99.82,95.26,99.92,2009
id,92.44,69.34,99.29,79.24,99.89,2009
it,93.2,89.35,99.67,91.23,99.87,2009
ja,97.85,99.65,99.95,98.74,99.96,2009
jv,93.56,90.44,99.69,91.98,99.88,2009
ka,100.0,98.16,99.96,99.07,100.0,2009
kk,98.22,96.27,99.89,97.23,99.97,2009
km,100.0,98.46,99.97,99.22,100.0,2009
kn,100.0,98.56,99.97,99.27,100.0,2009
ko,98.55,97.91,99.93,98.23,99.97,2009
lo,100.0,94.87,99.9,97.37,100.0,2009
lt,96.25,92.04,99.78,94.1,99.93,2009
mk,94.62,90.19,99.71,92.35,99.9,2009
ml,100.0,98.76,99.98,99.37,100.0,2009
mr,91.98,94.18,99.73,93.06,99.84,2009
nl,91.81,95.47,99.75,93.61,99.83,2009
pa,100.0,99.0,99.98,99.5,100.0,2009
pl,98.54,94.03,99.86,96.23,99.97,2009
pt,90.56,86.46,99.56,88.46,99.82,2009
ro,98.83,87.95,99.75,93.07,99.98,2009
ru,93.13,89.05,99.66,91.04,99.87,2009
sk,94.87,88.4,99.68,91.52,99.91,2009
sr,87.28,94.57,99.63,90.78,99.73,2009
sv,95.87,93.58,99.8,94.71,99.92,2009
ta,100.0,98.46,99.97,99.22,100.0,2009
te,100.0,95.82,99.92,97.86,100.0,2009
th,100.0,97.16,99.94,98.56,100.0,2009
tr,95.68,78.3,99.51,86.12,99.93,2009
uk,94.93,92.33,99.76,93.62,99.9,2009
ur,100.0,99.05,99.98,99.52,100.0,2009
vi,98.32,93.38,99.84,95.79,99.97,2009
Micro,91.98,91.52,99.84,91.75,99.92,103471
Macro,95.74,91.53,99.75,93.41,99.92,103471
