language,precision,recall,accuracy,f1-score,specificity,samples
af,98.95,99.67,99.98,99.31,99.98,10000
am,100.0,87.52,99.99,93.35,100.0,537
ar,98.86,99.3,99.97,99.08,99.98,10000
bg,95.14,99.76,99.92,97.39,99.92,10000
bn,100.0,99.11,99.99,99.55,100.0,10000
bs,35.76,59.62,97.74,44.71,98.34,10000
ca,99.86,99.41,99.99,99.63,100.0,10000
cs,99.71,99.09,99.98,99.4,100.0,10000
cy,98.37,99.88,99.97,99.12,99.97,10000
da,99.2,98.52,99.97,98.86,99.99,10000
de,98.61,99.41,99.97,99.01,99.98,10000
el,99.98,97.98,99.97,98.97,100.0,10000
en,78.43,98.2,99.56,87.21,99.58,10000
eo,99.46,99.39,99.98,99.42,99.99,10000
es,99.78,99.0,99.98,99.39,100.0,10000
et,99.74,99.67,99.99,99.7,100.0,10000
eu,99.8,98.97,99.98,99.38,100.0,10000
fa,65.65,95.35,99.17,77.76,99.22,10000
fi,99.79,99.96,100.0,99.88,100.0,10000
fr,99.56,99.51,99.99,99.53,99.99,10000
ga,99.04,99.74,99.99,99.39,100.0,2696
gd,99.47,99.92,100.0,99.7,100.0,2620
gl,99.59,99.46,99.99,99.52,99.99,10000
gu,100.0,98.26,99.97,99.12,100.0,10000
hi,89.33,99.17,99.81,93.99,99.82,10000
hr,41.99,52.68,98.16,46.73,98.87,10000
hu,99.45,99.7,99.99,99.58,99.99,10000
hy,100.0,96.0,99.99,97.96,100.0,1775
id,79.49,74.75,99.32,77.05,99.7,10000
ig,86.92,100.0,99.99,93.01,99.99,359
is,99.7,99.81,99.99,99.76,100.0,10000
it,99.71,99.58,99.99,99.64,100.0,10000
ja,96.19,99.84,99.94,97.98,99.94,10000
ka,100.0,94.09,99.91,96.96,100.0,10000
kk,98.88,96.22,99.93,97.53,99.98,10000
km,100.0,91.22,99.87,95.41,100.0,10000
kn,100.0,97.22,99.97,98.59,100.0,6073
ko,99.46,99.62,99.99,99.54,99.99,10000
ku,98.51,19.82,98.77,33.0,100.0,10000
lb,87.75,99.31,99.99,93.17,99.99,577
lt,99.85,99.55,99.99,99.7,100.0,10000
lv,99.65,99.7,99.99,99.68,99.99,10000
mk,99.88,99.5,99.99,99.69,100.0,10000
ml,99.13,99.39,99.98,99.26,99.99,10000
mn,99.33,50.82,99.28,67.24,99.99,9565
mr,49.06,80.34,99.84,60.92,99.87,1007
ms,77.16,79.51,99.33,78.32,99.63,10000
my,100.0,96.55,99.95,98.24,100.0,10000
ne,95.84,99.76,99.93,97.76,99.93,10000
nl,99.79,99.36,99.99,99.57,100.0,10000
no,98.5,99.19,99.96,98.84,99.98,10000
pl,99.8,99.87,99.99,99.84,100.0,10000
ps,40.67,99.63,99.88,57.76,99.88,547
pt,99.6,99.33,99.98,99.46,99.99,10000
ro,99.87,98.47,99.97,99.16,100.0,10000
ru,97.72,99.64,99.96,98.67,99.96,10000
sd,97.58,99.83,99.97,98.69,99.97,7666
si,100.0,99.51,99.99,99.75,100.0,10000
sk,99.13,99.52,99.98,99.33,99.99,10000
sl,97.62,99.29,99.95,98.45,99.96,10000
so,33.33,6.7,99.97,11.16,100.0,194
sq,99.89,99.52,99.99,99.7,100.0,10000
sr,91.5,4.95,98.54,9.39,99.99,10000
sv,99.37,99.46,99.98,99.42,99.99,10000
sw,99.88,98.25,99.97,99.06,100.0,10000
ta,100.0,88.06,99.82,93.65,100.0,10000
te,100.0,92.92,99.89,96.33,100.0,10000
th,100.0,98.67,99.98,99.33,100.0,10000
tr,99.82,99.69,99.99,99.75,100.0,10000
uk,74.78,99.76,99.48,85.48,99.48,10000
ur,81.15,95.51,99.59,87.75,99.66,10000
uz,92.96,100.0,100.0,96.35,100.0,66
vi,97.22,99.76,99.95,98.47,99.96,10000
xh,99.93,100.0,100.0,99.97,100.0,10000
zh,98.0,94.54,99.89,96.24,99.97,10000
Micro,93.24,93.13,99.87,93.18,99.93,653682
Macro,92.8,92.3,99.82,91.08,99.91,653682
