language,precision,recall,accuracy,f1-score,specificity,samples
af,12.13,86.23,99.72,21.28,99.73,4407
ar,99.92,88.2,99.92,93.69,100.0,66792
bg,33.14,84.29,99.53,47.58,99.57,25367
bn,99.99,99.86,100.0,99.93,100.0,15806
ca,17.32,80.73,99.6,28.52,99.62,9969
ceb,17.45,58.12,99.95,26.84,99.95,1705
cs,88.75,81.52,99.76,84.98,99.91,84123
da,67.24,74.23,99.6,70.56,99.76,65861
de,97.59,93.51,99.37,95.51,99.82,727114
el,99.96,99.96,100.0,99.96,100.0,40218
en,99.5,83.55,96.68,90.83,99.9,1986627
eo,96.17,92.02,99.08,94.05,99.69,793577
es,91.06,78.15,98.78,84.11,99.67,415801
eu,37.89,85.9,99.9,52.59,99.91,6326
fi,93.53,90.32,99.76,91.89,99.9,151584
fr,97.68,86.08,98.93,91.52,99.85,673450
gl,8.48,81.0,99.37,15.36,99.39,7085
gu,100.0,98.21,100.0,99.1,100.0,168
haw,0.83,83.12,99.84,1.64,99.84,160
hi,73.82,88.27,99.93,80.4,99.95,15624
hr,13.97,44.02,99.81,21.21,99.84,6006
hu,96.95,89.58,99.45,93.12,99.88,421697
id,71.86,63.24,99.84,67.28,99.94,25952
it,96.71,82.36,98.1,88.96,99.71,935157
ja,99.01,99.89,99.97,99.45,99.97,246319
jv,4.18,28.11,99.9,7.28,99.91,1430
ka,99.99,99.83,100.0,99.91,100.0,7074
kk,38.73,93.09,99.93,54.7,99.94,4385
km,100.0,98.25,100.0,99.12,100.0,2461
kn,100.0,100.0,100.0,100.0,100.0,310
ko,94.08,99.61,99.99,96.77,99.99,14205
lo,100.0,100.0,100.0,100.0,100.0,229
lt,90.36,88.08,99.72,89.2,99.88,131515
mk,83.33,74.1,99.68,78.44,99.88,78244
ml,100.0,100.0,100.0,100.0,100.0,878
mr,98.89,91.04,99.92,94.8,99.99,77592
nl,85.14,85.85,99.44,85.5,99.71,193399
pa,100.0,98.17,100.0,99.08,100.0,219
pl,91.06,92.73,99.78,91.89,99.88,132808
pt,90.22,88.82,99.1,89.51,99.56,437510
ro,63.44,81.67,99.76,71.41,99.83,37205
ru,99.02,85.79,98.3,91.93,99.89,1140746
sk,50.21,71.81,99.73,59.1,99.81,27240
sr,30.97,49.35,99.19,38.06,99.44,50762
sv,79.72,85.03,99.8,82.29,99.88,56297
ta,100.0,99.29,100.0,99.64,100.0,561
te,100.0,100.0,100.0,100.0,100.0,314
th,99.65,99.85,100.0,99.75,100.0,6827
tr,99.11,89.42,99.17,94.02,99.94,739792
uk,77.08,88.72,99.3,82.49,99.5,187391
ur,82.83,96.76,99.99,89.26,99.99,2687
vi,89.46,97.38,99.96,93.25,99.97,27253
Micro,87.58,86.6,99.75,87.09,99.88,10086229
Macro,76.12,86.06,99.61,77.46,99.86,10086229
