,id,"Argentina adalah sebuah negara yang kaya dengan SDA, tingkat melek huruf yang tinggi, sektor pertanian yang maju serta industri yang beragam. Malangnya, sejak akhir 1980-an negara ini telah menimbun hutang luar negeri yang tinggi, inflasi sampai 200% sebulan, dan pengeluaran yang merudum. Dalam mengatasi krisis ekonomi tersebut, pemerintahan telah mengambil langkah-langkah seperti liberalisasi perdagangan, deregulasi, dan swastanisasi. Pada 1991, pemerintahan telah melaksanakan reformasi finansial yang radikal dengan mematok peso kepada dolar AS dan mencanangkan pertumbuhan keuangan untuk perlindungan moneter secara undang-undang."
,hr,"Mekinjiš ima 303 stanovnika (2001.). Mađari su većina, a Nijemaca je desetina sela, a u selu je i nešto Roma. Nešto manje od 2/3 sela su rimokatolici, 16% je luterana, 11% je kalvinista te ostali."
,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,mi,"He 10 ngā motu o Hāmoa, ngā ahi tipua katoa. E whā ngā motu e tu ai nga kāinga, ko Upolu, Savai'i, Manono me Apolima. Kāore e tu ngā kāinga ki motu iti'iti, ko Nu'utele, Nu'ulua, Namua, Fanuatapu, Nu'ulopa me Nu'usafe'e."
,yo,"Agbègbè kan ní ìlà-oòrùn Scotland ni Aberdeenshire. Ó ní àwọ òkè ní apá ìwọ̀-oòrùn rẹ̀. Ibi tí ó ga jù níbẹ̀ ni a ń pè ní Cairngorm. Àwọn òkè yìí jẹ ojú ní gbèsè. Orí òkè wọ̀nyí ni odò Don àti Dee ti sun wá. Ní apá ìlà-oòrùn Aberdenshire, iṣẹ́ àgbẹ̀ ni ó jẹ wọ́n lógún. Bí wọ́n ti ń dáko ni wọ́n ń sin nǹkan ọ̀sìn. Bèbè òkun ibẹ̀ ní òkúta. Buchan Ness tí ó wà ní Aberdeenshire ni ìlú tí ó kángun jù ní ìlà-oòrùn ilẹ̀ Scotland. Àwọn ìlú tí ó ṣe pàtàkì ní Aberdeenshire ni Aberdeen, Peterhead, fraserburgh, Inverturie, Ballatre àti Huntly. Iṣẹ́ àgbẹ̀ ni ó wọ́pọ̀ jù ní Aberdeenshire. Wọ́n dá ilé-iṣẹ́ ẹja sílẹ̀ ní Aberdeen, fraserburgh àti Peterhead. Àwọn ènìyàn ti ó wà ní agbègbè yìí ní 1961 jẹ́ 298, 503."
,lb,"« Melanie Klein », am Dictionnaire des Sciences Humaines, dirigéiert vum Sylvie Mesure an Patrick Savidan, Paräis, Presses Universitaires de France, 2004."
,bs,"Suprotno uvriježenom mišljenju, velika većina filma je snimljena u Hollywoodu. Opsežan broj vanjskih setova se koristio, ali većina scena ustvari se snimala na pozornicama Hollywooda, i na pozadini sedam glavnih studija, uključujući RKO-Pathé, RKO, Universal-International, Warner Bros, Columbia i 20th Century Fox."
,bs,"Reakcioni presjek σ je mjera vjerovatnoće fuzione reakcije kao funkcije relativnog ubrzanja dva reagirajuća jezgra. Ukoliko reagirajuća jezgra imaju raspodjelu ubrzanja, naprimjer, termička distribucija sa termonuklearnom fuzijom, tada je korisno izvesti jedan prosjek raspodjele presjeka proizvoda i brzine. Reakcioni odnos (fuzija po obimu za vrijeme) je σv puta proizvod brojčane gustoće reaktanata:"
,hr,"Vrhunac gotičke skulpture nalazi se u portalu katedrale u Reimsu; u dvije kompozicije Blagovijesti (Navještenja) i Vizitacije gdje su dva ženska lika okrenuta jedan prema drugom naglašenog volumena, draperije i tijela koje obrazuje S liniju. Umjesto dramatikom naturalizma raspela iz Naumburga ovdje se susrećemo s lirikom idealizma."
,bs,"Dosad niko nije odgovarao za ovaj zločin. Kantonalno tužilaštvo u Mostaru poslalo je Haškom tribunalu ovaj predmet na ocjenu. Među osumnjičenima za ovaj zločin nalaze se zapovjednik Kažnjeničke bojne Mladen Naletilić, zapovjednik Druge brigade HVO-a Ilija Vrljić, zapovjednik Bjelopoljske bojne Marko Radić Maka, ministar odbrane Herceg-Bosne Bruno Stojić, te pripadnici HVO-a Darko Tadić Konta i Brano Savić Cojo."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
