language,precision,recall,accuracy,f1-score,specificity,samples
af,96.16,67.35,99.67,79.22,99.97,2009
am,100,100,100,100,100,2009
an,91.11,2.04,99.08,3.99,100,2009
ar,99.91,99.77,99.98,99.84,99.99,12054
as,100,99.1,99.99,99.55,100,2009
az,97.22,99.25,99.97,98.23,99.97,2009
ba,100,97.76,99.98,98.87,100,2009
be,100,99.9,100,99.95,100,2009
bg,99.5,99.85,99.99,99.68,100,2009
bn,98,100,99.98,98.99,99.98,2009
bo,100,100,100,100,100,2009
bs,59.45,9.71,99.09,16.69,99.94,2009
ca,43.89,94.77,98.82,60,98.86,2009
cs,86.97,80.09,99.7,83.39,99.89,2009
cv,100,96.22,99.96,98.07,100,2009
cy,87.41,98.86,99.86,92.78,99.87,2009
da,89.69,91.79,99.82,90.73,99.9,2009
de,71.06,100,99.62,83.09,99.62,2009
el,100,100,100,100,100,2009
en,34.13,100,98.2,50.89,98.18,2009
eo,85.46,99.75,99.84,92.05,99.84,2009
es,26.8,100,97.45,42.27,97.42,2009
et,94.59,94.77,99.9,94.68,99.95,2009
eu,91.14,99.85,99.91,95.3,99.91,2009
fa,99.95,100,100,99.98,100,2009
fi,84.65,99.95,99.83,91.67,99.83,2009
fr,67.77,99.85,99.55,80.74,99.55,2009
ga,90.42,62.52,99.59,73.93,99.94,2009
gd,90.89,78.94,99.73,84.5,99.93,2009
gl,97,56.25,99.57,71.2,99.98,2009
gn,93.75,3.73,99.1,7.18,100,2009
gu,100,100,100,100,100,2009
he,100,100,100,100,100,2009
hi,92.24,100,99.92,95.96,99.92,2009
hr,46.39,59.18,98.98,52.01,99.35,2009
ht,98.82,24.94,99.3,39.83,100,2009
hu,96.26,98.66,99.95,97.44,99.96,2009
hy,99.9,100,100,99.95,100,2009
id,44.53,97.06,98.84,61.05,98.86,2009
is,99.9,96.96,99.97,98.41,100,2009
it,64.01,99.95,99.47,78.04,99.47,2009
ja,99.7,100,100,99.85,100,2009
jv,88.35,69.84,99.63,78.01,99.91,2009
ka,100,100,100,100,100,2009
kk,99.7,99.9,100,99.8,100,2009
km,99.95,100,100,99.98,100,2009
kn,98.05,100,99.98,99.01,99.98,2009
ko,100,100,100,100,100,2009
ku,63.31,14.09,99.12,23.05,99.92,2009
ky,99.95,99.65,100,99.8,100,2009
lb,99.53,63.17,99.65,77.28,100,2009
li,100,7.86,99.14,14.58,100,2009
lo,100,99.95,100,99.98,100,2009
lt,83.43,95.72,99.78,89.15,99.82,2009
lv,97,62.82,99.63,76.25,99.98,2009
mk,99.45,99.85,99.99,99.65,99.99,2009
ml,99.85,100,100,99.93,100,2009
mr,99.8,99.95,100,99.88,100,2009
ms,57.72,45.59,99.18,50.95,99.68,2009
mt,98.8,61.27,99.63,75.64,99.99,2009
my,99.95,100,100,99.98,100,2009
ne,99.85,99.2,99.99,99.53,100,2009
nl,45.04,99.9,98.86,62.09,98.85,2009
nn,99.21,43.95,99.47,60.92,100,2009
oc,76.41,5.72,98.2,10.65,99.97,4018
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,75.78,99.85,99.7,86.17,99.7,2009
pt,64.58,49.6,98.55,56.11,99.48,4018
qu,98.68,81.88,99.82,89.5,99.99,2009
ro,82.68,96.91,99.78,89.23,99.81,2009
ru,95.21,100,99.95,97.55,99.95,2009
sa,100,92.19,99.93,95.93,100,2009
sc,69.57,0.8,99.07,1.57,100,2009
sd,100,99.45,99.99,99.73,100,2009
si,100,100,100,100,100,2009
sk,95.64,72.13,99.71,82.24,99.97,2009
sl,76.99,95.12,99.69,85.1,99.73,2009
so,99.62,52.46,99.55,68.73,100,2009
sr,67.06,99.5,99.54,80.12,99.54,2009
su,85.47,51.82,99.47,64.52,99.92,2009
sv,97.36,97.16,99.95,97.26,99.98,2009
sw,84.63,95.62,99.8,89.79,99.84,2009
ta,99.75,100,100,99.88,100,2009
te,99.95,100,100,99.98,100,2009
tg,99.9,99.45,99.99,99.68,100,2009
th,100,100,100,100,100,2009
tk,20,0.05,99.06,0.1,100,2009
tl,58.47,99.65,99.34,73.7,99.33,2009
tr,49.21,98.95,99.04,65.73,99.04,2009
ug,99.9,100,100,99.95,100,2009
uk,98.53,100,99.99,99.26,99.99,2009
ur,97.85,99.85,99.98,98.84,99.98,2009
uz,99.28,82.13,99.83,89.89,99.99,2009
vi,99.43,25.93,99.31,41.14,100,2009
yi,100,100,100,100,100,2009
yo,0,0,99.06,0,100,2009
zh,100,98.74,99.96,99.37,100,6027
Micro,82.41,82.41,99.8,82.41,99.9,214963
Macro,87.14,82.31,99.66,80.38,99.84,214963
