language,precision,recall,accuracy,f1-score,specificity,samples
af,99.95,87.67,99.82,93.41,100,10000
am,100,86.22,99.99,92.6,100,537
ar,98.01,99.75,99.97,98.87,99.97,10000
as,100,98.34,100,99.16,100,181
az,99.73,18.21,98.81,30.8,100,10000
be,97.68,98.89,99.95,98.28,99.97,10000
bg,90.18,99.88,99.84,94.78,99.84,10000
bn,99.91,99.79,100,99.85,100,10000
br,80.38,98.48,99.91,88.52,99.92,2305
bs,35.72,2.94,98.51,5.43,99.92,10000
ca,98.29,95.93,99.92,97.1,99.98,10000
cs,78.4,92.17,99.52,84.73,99.62,10000
cy,98.67,99.44,99.97,99.05,99.98,10000
da,57.98,99.56,98.94,73.29,98.93,10000
de,93.6,99.84,99.9,96.62,99.9,10000
el,100,99.61,99.99,99.8,100,10000
en,61.72,99.89,99.1,76.3,99.08,10000
eo,95.39,99.84,99.93,97.56,99.93,10000
es,83.26,99.79,99.7,90.78,99.7,10000
et,97.6,94.69,99.89,96.12,99.97,10000
eu,98.39,99.03,99.96,98.71,99.98,10000
fa,98.56,96.76,99.93,97.65,99.98,10000
fi,90.79,99.98,99.85,95.16,99.85,10000
fr,80.44,99.87,99.64,89.11,99.64,10000
ga,96.5,68.43,99.87,80.08,99.99,2696
gd,85.32,93.82,99.91,89.37,99.94,2620
gl,99.76,57.14,99.37,72.66,100,10000
gu,99.99,100,100,100,100,10000
he,100,100,100,100,100,10000
hi,97.7,99.92,99.96,98.8,99.97,10000
hr,51.65,41.82,98.58,46.22,99.42,10000
hu,99.54,99.77,99.99,99.66,99.99,10000
hy,100,99.55,100,99.77,100,1775
id,57.27,96.19,98.9,71.8,98.94,10000
is,99.97,73.07,99.61,84.43,100,10000
it,89.84,99.9,99.83,94.6,99.83,10000
ja,99.98,99.9,100,99.94,100,10000
ka,100,99.77,100,99.88,100,10000
kk,99.97,96.14,99.94,98.02,100,10000
km,100,98.69,99.98,99.34,100,10000
kn,99.81,97.63,99.98,98.71,100,6073
ko,99.94,99.92,100,99.93,100,10000
ku,99.61,5.17,98.62,9.83,100,10000
lb,94.15,55.81,99.96,70.08,100,577
lt,82.97,97.85,99.68,89.8,99.7,10000
lv,99.51,60.72,99.42,75.42,100,10000
mk,99.91,99.78,100,99.84,100,10000
ml,98.99,99.85,99.98,99.42,99.98,10000
mn,99.98,46.22,99.25,63.22,100,9565
mr,100,84.11,99.98,91.37,100,1007
ms,77.59,29.77,98.85,43.03,99.87,10000
my,100,98.08,99.97,99.03,100,10000
ne,99.98,98.39,99.98,99.18,100,10000
nl,88.38,99.83,99.81,93.75,99.81,10000
no,74.33,37.5,98.9,49.85,99.81,10000
or,100,100,100,100,100,185
pl,87.34,99.92,99.79,93.21,99.79,10000
ps,98.98,88.67,99.99,93.54,100,547
pt,72.44,99.43,99.44,83.82,99.44,10000
ro,98.71,98.2,99.96,98.46,99.98,10000
ru,72.41,99.99,99.44,83.99,99.44,10000
sd,98.72,99.8,99.98,99.26,99.99,7666
si,99.97,99.99,100,99.98,100,10000
sk,99.19,52.89,99.31,68.99,99.99,10000
sl,80.05,83.88,99.46,81.92,99.69,10000
so,0,0,99.97,0,100,194
sq,99.68,83.93,99.76,91.13,100,10000
sr,37.88,83.13,97.77,52.05,97.98,10000
sv,99.01,98.66,99.97,98.83,99.99,10000
sw,99.62,91.77,99.87,95.53,99.99,10000
ta,99.9,90.3,99.86,94.86,100,10000
te,99.99,95.21,99.93,97.54,100,10000
th,100,99.36,99.99,99.68,100,10000
tl,91.22,89.39,99.72,90.3,99.87,10000
tr,96.37,99.43,99.94,97.88,99.94,10000
uk,97.89,99.97,99.97,98.92,99.97,10000
ur,97.54,99.28,99.95,98.4,99.96,10000
uz,85.71,81.82,100,83.72,100,66
vi,99.48,34.39,99.04,51.11,100,10000
zh,98.46,98.66,99.96,98.56,99.98,10000
Micro,86.87,86.87,99.85,86.87,99.92,685994
Macro,90.47,85.87,99.71,85.78,99.87,685994
