language,precision,recall,accuracy,f1-score,specificity,samples
af,52.05,53.19,99.96,52.62,99.98,4407
am,88.22,99.35,100,93.46,100,309
an,0,0,100,0,100,102
ar,99.01,96.88,99.97,97.93,99.99,68392
as,99.89,71.83,99.96,83.57,100,14681
ast,8.9,11.33,99.98,9.97,99.99,812
av,68.25,20.81,99.99,31.89,100,692
az,75.68,78.5,99.96,77.07,99.98,9002
ba,62.33,75.07,100,68.11,100,357
bar,6.78,4.8,100,5.62,100,250
bcl,0,0,100,0,100,15
be,95.81,88.48,99.98,92,99.99,14276
bg,89.46,93.46,99.96,91.42,99.97,25367
bn,79.15,99.79,99.96,88.28,99.96,15806
bo,87.5,100,100,93.33,100,42
br,63.7,64.37,99.95,64.03,99.97,7999
bs,3.19,5.75,99.96,4.1,99.97,1740
ca,38.45,60.82,99.88,47.12,99.91,9969
cbk,54.07,9.6,99.97,16.3,100,3116
ce,9.47,54.76,100,16.14,100,42
ceb,15.69,58.18,99.94,24.72,99.95,1705
ckb,99.6,96.86,100,98.21,100,12600
co,4,3.57,100,3.77,100,28
cs,80.3,55.08,99.55,65.34,99.9,84123
cv,94.13,91.15,100,92.61,100,1706
cy,40.26,66.4,99.98,50.13,99.98,1777
da,85.05,81.42,99.8,83.19,99.91,65861
de,96.07,99.43,99.69,97.72,99.71,727114
diq,0,0,100,0,100,7
dsb,28.29,3.73,99.98,6.59,100,1555
dv,57.14,100,100,72.73,100,40
el,99.51,99.94,100,99.73,100,40218
en,95.61,99.54,99.09,97.54,98.99,1986627
eo,96.6,97.49,99.57,97.05,99.73,793577
es,83.97,96.47,99.17,89.79,99.27,415801
et,36.83,59.72,99.92,45.56,99.94,6115
eu,53.52,87.53,99.95,66.42,99.96,6326
fa,96.07,99.44,99.99,97.73,99.99,31457
fi,92.66,92.73,99.8,92.69,99.9,151584
fr,93.45,97.27,99.41,95.33,99.55,673450
frr,3.7,0.06,99.97,0.13,100,3083
fy,19.36,30.52,99.99,23.69,99.99,711
ga,85.05,28.13,99.98,42.28,100,2972
gd,54.71,55.33,99.99,55.02,100,1050
gl,27.23,29.99,99.9,28.55,99.95,7085
gn,40.91,1.07,99.97,2.08,100,3367
gom,3.3,30,100,5.94,100,10
gu,64.86,100,100,78.69,100,168
gv,1.79,7.89,100,2.91,100,38
he,99.53,99.94,99.99,99.74,99.99,209347
hi,91.26,98.95,99.98,94.95,99.99,15624
hif,0,0,100,0,100,34
hr,20.36,31.83,99.89,24.83,99.93,6006
hsb,14.71,10.88,99.98,12.5,99.99,1554
ht,2.01,3.88,100,2.65,100,103
hu,98.19,90.65,99.58,94.27,99.93,421697
hy,99.21,99.98,100,99.59,100,29696
ia,84.8,66.49,99.84,74.54,99.96,39060
id,60.36,88.87,99.84,71.89,99.86,25952
ie,71.25,37.16,99.91,48.84,99.98,12177
ilo,68.69,66.49,99.99,67.57,99.99,2465
io,65.15,37.35,99.9,47.48,99.98,13164
is,96.05,81.35,99.97,88.09,100,13390
it,95.18,98.36,99.43,96.74,99.54,935157
ja,99.7,99.93,99.99,99.81,99.99,246319
jbo,79.77,79.9,99.94,79.84,99.97,17152
jv,19.85,24.34,99.98,21.87,99.99,1430
ka,99.55,99.24,100,99.39,100,7074
kk,93.56,93.75,99.99,93.66,100,4385
km,96.79,99.35,100,98.05,100,2461
kn,63.52,100,100,77.69,100,310
ko,98.77,97.19,99.99,97.97,100,14509
ku,64.03,8.35,99.91,14.77,100,10281
kv,7.76,22.67,100,11.56,100,75
kw,89.66,77.47,99.99,83.12,100,3950
ky,45.34,71.64,99.99,55.53,100,536
la,90.35,69.73,99.82,78.71,99.96,52513
lb,12.26,29.33,99.97,17.29,99.98,1023
lez,0,0,100,0,100,12
li,1.47,2.13,100,1.74,100,47
lmo,0,0,100,0,100,29
lo,86.74,100,100,92.9,100,229
lt,95.28,60.3,99.49,73.86,99.96,131515
lv,56.44,29.71,99.89,38.93,99.97,12480
mai,7.5,37.5,100,12.5,100,8
mg,5.21,27.4,100,8.75,100,73
mhr,96.34,94.66,100,95.49,100,4362
min,5.37,9.09,100,6.75,100,121
mk,93.27,97.5,99.93,95.33,99.95,78244
ml,81.15,100,100,89.59,100,878
mn,86.94,92.3,99.99,89.54,100,2792
mr,99.89,98.98,99.99,99.43,100,77592
mrj,21.61,57.3,100,31.38,100,89
ms,22.16,36.48,99.87,27.57,99.91,7550
mt,10.1,12.59,99.99,11.21,99.99,691
mwl,3.01,1.89,100,2.32,100,212
my,92.82,99.66,100,96.12,100,584
myv,13.24,12.5,100,12.86,100,72
nah,20.48,7.23,100,10.69,100,235
nap,0,0,100,0,100,65
nds,81.81,71.77,99.93,76.46,99.97,18226
ne,96.33,79.8,99.99,87.29,100,4500
nl,91.07,95.17,99.75,93.07,99.83,193399
nn,63.12,25.12,99.9,35.94,99.98,12360
oc,58.97,13.17,99.8,21.54,99.98,22598
or,93.05,86.35,100,89.58,100,403
os,92.86,9.51,99.94,17.25,100,7382
pa,94.74,98.63,100,96.64,100,219
pam,16.41,2.9,99.98,4.93,100,1482
pfl,0,0,100,0,100,3
pl,87.56,88.81,99.71,88.18,99.85,132808
pms,5.57,2.07,99.99,3.02,100,822
pnb,28.13,50,100,36,100,72
ps,25.41,65.96,100,36.69,100,47
pt,94.53,91.53,99.45,93.01,99.78,437510
qu,30.34,28.74,99.99,29.52,100,435
rm,0.24,3.85,100,0.45,100,26
ro,79.6,64.61,99.82,71.33,99.94,37205
ru,98.93,99.74,99.86,99.33,99.87,1140746
rue,71.43,8.55,100,15.27,100,117
sa,74.51,91.57,100,82.16,100,166
sah,94.88,95.36,100,95.12,100,992
sc,0,0,99.99,0,100,16
scn,2.02,14.29,100,3.55,100,35
sco,2.33,6.52,100,3.43,100,92
sd,5.95,83.33,100,11.11,100,6
si,40.76,100,100,57.92,100,75
sk,55.45,21.69,99.76,31.18,99.96,27240
sl,9.27,44.04,99.85,15.32,99.87,3388
so,17.89,34.78,100,23.63,100,161
sq,35.84,41.7,99.97,38.55,99.98,2633
sr,69.64,72.41,99.73,71,99.85,50762
su,0.24,12.5,99.98,0.47,99.98,40
sv,87.9,69.93,99.8,77.89,99.95,56297
sw,63.67,60.9,99.97,62.25,99.99,4529
ta,64.63,100,100,78.52,100,561
te,73.88,100,100,84.98,100,314
tg,17.31,84.06,100,28.71,100,69
