language,precision,recall,accuracy,f1-score,specificity,samples
af,99.95,99.95,100,99.95,100,2009
am,100,99.95,100,99.98,100,2009
ar,99.99,93.89,99.65,96.84,100,12054
as,100,100,100,100,100,2009
az,99.95,99.55,100,99.75,100,2009
ba,100,100,100,100,100,2009
be,100,100,100,100,100,2009
bg,100,100,100,100,100,2009
bn,99.95,100,100,99.98,100,2009
bo,100,96.47,99.97,98.2,100,2009
ca,96.43,99.35,99.96,97.87,99.96,2009
cs,99.12,78.65,99.79,87.7,99.99,2009
cv,100,99.85,100,99.93,100,2009
cy,99.95,100,100,99.98,100,2009
da,99.7,98.95,99.99,99.33,100,2009
de,99.65,99.8,99.99,99.73,100,2009
el,100,100,100,100,100,2009
en,99.41,99.8,99.99,99.6,99.99,2009
eo,100,99.85,100,99.93,100,2009
es,99.06,99.7,99.99,99.38,99.99,2009
et,99.95,99.9,100,99.93,100,2009
eu,99.8,99.95,100,99.88,100,2009
fa,100,100,100,100,100,2009
fi,99.85,99.95,100,99.9,100,2009
fr,99.6,99.6,99.99,99.6,100,2009
ga,100,91.14,99.92,95.36,100,2009
gd,91.95,100,99.92,95.8,99.92,2009
gl,99.84,91.19,99.91,95.32,100,2009
gn,100,87.01,99.88,93.05,100,2009
gu,100,100,100,100,100,2009
he,100,100,100,100,100,2009
hi,98.29,99.85,99.98,99.06,99.98,2009
hr,99.1,98.61,99.98,98.85,99.99,2009
ht,99.85,99.45,99.99,99.65,100,2009
hu,100,99.8,100,99.9,100,2009
hy,100,100,100,100,100,2009
id,79.91,99.8,99.76,88.76,99.76,2009
is,100,96.57,99.97,98.25,100,2009
it,99.85,99.9,100,99.88,100,2009
ja,99.6,100,100,99.8,100,2009
jv,99.9,99.8,100,99.85,100,2009
ka,100,100,100,100,100,2009
kk,100,99.85,100,99.93,100,2009
km,100,100,100,100,100,2009
kn,100,100,100,100,100,2009
ko,100,99.95,100,99.98,100,2009
ku,100,87.26,99.88,93.2,100,2009
ky,100,100,100,100,100,2009
lb,100,98.9,99.99,99.45,100,2009
li,100,97.11,99.97,98.54,100,2009
lo,100,99.9,100,99.95,100,2009
lt,99.75,99.55,99.99,99.65,100,2009
lv,99.8,99.45,99.99,99.63,100,2009
mk,99.95,100,100,99.98,100,2009
ml,99.95,100,100,99.98,100,2009
mr,100,100,100,100,100,2009
ms,99.8,75.26,99.76,85.81,100,2009
mt,99.36,99.95,99.99,99.65,99.99,2009
my,100,100,100,100,100,2009
ne,99.85,99.95,100,99.9,100,2009
nl,98.53,99.9,99.98,99.21,99.99,2009
nn,98.94,97.76,99.97,98.35,99.99,2009
oc,99.59,97.19,99.94,98.38,99.99,4018
or,99.85,100,100,99.93,100,2009
pa,99.36,100,99.99,99.68,99.99,2009
pl,99.5,99.4,99.99,99.45,100,2009
pt,95.94,99.88,99.92,97.87,99.92,4018
qu,100,74.71,99.76,85.53,100,2009
ro,99.9,99.75,100,99.83,100,2009
ru,99.95,99.95,100,99.95,100,2009
sa,100,98.71,99.99,99.35,100,2009
sc,100,99.8,100,99.9,100,2009
sd,100,99.95,100,99.98,100,2009
si,100,100,100,100,100,2009
sk,90.74,98.01,99.89,94.23,99.9,2009
sl,89.69,100,99.89,94.56,99.89,2009
so,100,100,100,100,100,2009
sr,98.97,99.95,99.99,99.46,99.99,2009
su,99.9,99.7,100,99.8,100,2009
sv,99.95,99.6,100,99.78,100,2009
sw,99.9,98.81,99.99,99.35,100,2009
ta,100,100,100,100,100,2009
te,99.95,100,100,99.98,100,2009
tg,100,100,100,100,100,2009
th,100,100,100,100,100,2009
tk,99.95,98.56,99.99,99.25,100,2009
tl,100,99.95,100,99.98,100,2009
tr,97.28,99.6,99.97,98.43,99.97,2009
ug,99.6,99.95,100,99.78,100,2009
uk,100,100,100,100,100,2009
ur,100,99.9,100,99.95,100,2009
uz,99.65,99.9,100,99.78,100,2009
vi,100,76.26,99.77,86.53,100,2009
yi,100,100,100,100,100,2009
yo,100,97.16,99.97,98.56,100,2009
zh,100,99.02,99.97,99.51,100,6027
Micro,99.13,97.94,99.98,98.53,99.99,210945
Macro,99.23,98.11,99.97,98.57,99.99,210945
