language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.57,99.99,99.78,100,10000
am,99.37,87.52,99.99,93.07,100,537
ar,98.18,98.47,99.95,98.32,99.97,10000
as,94.15,97.79,100,95.93,100,181
az,99.42,17.24,98.77,29.38,100,10000
be,99.68,99.7,99.99,99.69,100,10000
bg,99.95,99.92,100,99.93,100,10000
bn,97.87,99.41,99.96,98.64,99.97,10000
br,93.93,99.96,99.98,96.85,99.98,2305
ca,100,98.57,99.98,99.28,100,10000
cs,99.53,91.86,99.87,95.54,99.99,10000
cy,99.82,99.89,100,99.86,100,10000
da,99.64,98.85,99.98,99.24,99.99,10000
de,99.44,99.68,99.99,99.56,99.99,10000
el,99.95,99.5,99.99,99.72,100,10000
en,75.37,96.71,99.48,84.71,99.53,10000
eo,99.99,98.2,99.97,99.09,100,10000
es,98.83,99.37,99.97,99.1,99.98,10000
et,99.82,99.27,99.99,99.54,100,10000
eu,99.6,99.14,99.98,99.37,99.99,10000
fa,99.5,98.96,99.98,99.23,99.99,10000
fi,99.68,99.92,99.99,99.8,100,10000
fr,97.41,99.54,99.95,98.46,99.96,10000
ga,100,86.83,99.95,92.95,100,2696
gd,88.85,99.77,99.95,93.99,99.95,2620
gl,100,91.14,99.87,95.36,100,10000
gu,99.99,100,100,100,100,10000
he,99.97,99.99,100,99.98,100,10000
hi,99.77,83.07,99.75,90.66,100,10000
hr,69.83,77.26,99.17,73.36,99.5,10000
hu,99.99,99.38,99.99,99.68,100,10000
hy,99.94,99.55,100,99.75,100,1775
id,65.19,94.24,99.17,77.07,99.24,10000
is,100,86.27,99.8,92.63,100,10000
it,99.97,99.15,99.99,99.56,100,10000
ja,100,98.95,99.98,99.47,100,10000
ka,99.99,74.1,99.62,85.12,100,10000
kk,100,95.24,99.93,97.56,100,10000
km,99.99,98.57,99.98,99.27,100,10000
kn,100,97.55,99.98,98.76,100,6073
ko,100,99.64,99.99,99.82,100,10000
ku,100,17.47,98.78,29.74,100,10000
lb,100,98.09,100,99.04,100,577
lt,99.88,98.3,99.97,99.08,100,10000
lv,99.96,96.92,99.95,98.42,100,10000
mk,99.98,99.85,100,99.91,100,10000
ml,99.13,99.8,99.98,99.46,99.99,10000
mn,0,0,98.59,0,100,9565
mr,98.36,77.26,99.96,86.54,100,1007
ms,91.72,47.97,99.17,62.99,99.93,10000
my,100,97.26,99.96,98.61,100,10000
ne,99.88,99.86,100,99.87,100,10000
nl,99.85,99.61,99.99,99.73,100,10000
no,0,0,98.52,0,100,10000
or,91.58,100,100,95.61,100,185
pl,99.68,99.43,99.99,99.55,100,10000
ps,0,0,99.92,0,100,547
pt,94.08,99.51,99.9,96.72,99.91,10000
ro,99.89,99.52,99.99,99.7,100,10000
ru,99.98,99.6,99.99,99.79,100,10000
sd,99.97,99.26,99.99,99.61,100,7666
si,99.89,99.99,100,99.94,100,10000
sk,98.09,96.87,99.93,97.47,99.97,10000
sl,95.35,99.04,99.91,97.16,99.93,10000
so,0,0,99.97,0,100,194
sq,94.11,98.6,99.89,96.3,99.91,10000
sr,74.83,65.72,99.17,69.98,99.67,10000
sv,99.77,99.23,99.99,99.5,100,10000
sw,99.96,98.31,99.97,99.13,100,10000
ta,99.18,90.17,99.84,94.46,99.99,10000
te,99.95,94.75,99.92,97.28,100,10000
th,100,99.19,99.99,99.59,100,10000
tl,100,88.67,99.83,93.99,100,10000
tr,97.5,99.36,99.95,98.42,99.96,10000
uk,99.99,99.85,100,99.92,100,10000
ur,99.55,95.6,99.93,97.54,99.99,10000
uz,77.11,96.97,100,85.91,100,66
vi,99.97,70.33,99.56,82.57,100,10000
zh,98.42,95.46,99.91,96.92,99.98,10000
Micro,96.69,90.02,99.92,93.23,99.98,675994
Macro,92.18,88.32,99.84,89.24,99.96,675994
