,mn,"Тухайн үед дан ганц 20кг-ын Орос баллон хэрэглэдэг байсан уламжлалыг халж хэрэглэгчдийг сонголт ихтэй болгож 5,10,14,20 кг хэмжээтэй, баллонуудыг захиалан үйлдвэрлүүлж, өөрийн брэнд болгон хэрэглээнд нэвтрүүлж, хийн түлшээр ажилладаг тулга, төрөл бүрийн халаагуурууд, тоног төхөөрөмжийн ашиглалт, хийн түлшний ашиг тусыг хэвлэл мэдээллийн хэрэгслэлээр тасралтгүй сурталчилсаны үр дүнд 2002 оны 5 сар гэхэд хийн түлшний хэрэглээ сард 30 тн, 9 сард 50 тн хүрч өссөн юм."
,hi,"बांग्लादेश के मुख्य न्यायाधीश का पद, बांग्लादेश सर्वोच्च न्यायिक पद है। इस पद पर विराजमान होने वाले पहले पदाधिकारी न्यायमूर्ति अब सादात मोहम्मह खान सयम थे, जोकि १६ दिसंबर १९७२ से नवंबर १९७५ तक इस पद पर रहे थे। तत्पश्चात, जनवरी २०१५ तक इस पद पर कुल २१ लोग विराजमान हो चुके हैं। वर्तमान मुख्य न्यायाधीश सुरेन्द्र कुमार सिन्हा इस पद पर १७ जनवरी २०१५ विराजमान हैं। वे हिन्दू धर्म के अनुयायी हैं, तथा बिष्णुप्रिय मणिपुरी समुदाय से आते हैं, तथा वे बांग्लादेश में किसी भी अल्पसंख्यक जातीय समूहों से नियुक्त पहली मुख्य न्यायाधीश है। न्यायमूर्ति भावनी प्रसाद सिन्हा भी एक ही समुदाय से हैं। न्यायमूर्ति महौदय नाज़मन आरा सुल्ताना इस पद को सुशोभित करने वाली पहली महिला न्यायाधीश थीं, और मैडम जस्टिस कृष्णा देबनाथ बांग्लादेश की पहली महिला हिंदू न्यायाधीश है। वर्तमान में सुप्रीम कोर्ट में छह महिला न्यायाधीशों रहे हैं।"
,mn,"hash Зөөх, хуулах явцыг # (hash sign) тэмдэгт ашиглах харуулах. Нэг дата блокийн хэмжээ нь 2048 байт байна. help [ command name ] Энэ комманд нь коммандуудын тухай мэдээлэлийг гаргана. Харин аргументийг нь өгөхгүй. Коммандуудын жагсаалтыг гаргахын тулд промтын ард help гэж бичнэ."
,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,mn,"FTP (File Transfer Protocol)- Файл дамжуулах протокол нь дэлхийн хаана ч байгаа компьютерийн файлыг харах, сонирхсоноо хуулах боломж олгоно. FTP талбар нь Хост буюу интернэтэд холбогдсон компьютер бөгөөд түүнд файл хадгалагдана. FTP талбарыг коллеж, их дээд сургууль, засгийн газрын агентлаг, компани хувь хүмүүс бүрдүүлнэ. Интернэтэд олон мянган FTP талбар бий. Зарим FTP талбар хувийнх байдаг. Ийм талбарын файлд хандахдаа нэвтрэх үгээ оруулна. Олон компани ийм талбарыг дэлхийн өнцөг буланд байгаа өөрийн ажилтан, хэрэглэгчдэд мэдээлэл хүргэх зорилгоор ажиллуулдаг. Мөн нийтийн FTP талбар байх ба энэ нь нийтэд зориулагдсан асар их мэдээлэл бүхий FTP талбар олон бий. Түүний файлд хандах нэвтрэх үг шаардлагагүй, хэн боловч мэдээллийг үнэгүй авч ашиглаж болно. Энэ сайтуудад холбогдохдоо User ID: anonymous, Password: и-мэйлийн хаягаа бичнэ. FTP нь терминал дээрх хэрэглэгчдэд шууд хэрэглэгдэх боломжтой боловч энэ нь үндсэндээ программуудын хэрэглээнд зориулагдсан юм. Түүнийг анх 1971 онд тодорхойлсон бөгөөд энэ хугацаанд их өөрчлөгдсөн бүрэн тодорхойлолтыг RFC 114-с олж үзэж болно"
,lb,"« Melanie Klein », am Dictionnaire des Sciences Humaines, dirigéiert vum Sylvie Mesure an Patrick Savidan, Paräis, Presses Universitaires de France, 2004."
,mn,"BZP Digital&Inbound агентлаг нь инбаунд маркетингийн үүнд: сошиал медиа маркетинг, контент маркетинг, хайлтын системийн оновчлол, и-мэйл маркетинг, вэб дизайн, онлайн сурталчилгаа, маркетингийн автоматжуулалт, CRM нэвтрүүлэх үйлчилгээ, сургалтуудыг санал болгодог."
,ps,"ديا د غيرت په نوم د ښځو د وژنې په موضوع د پوهې، اگاهي او واقفيت پيداکولو دپاره ''''بناز اې لو سټوري'''' نومي يو دستاويزي فلم جوړ کړې دې۔ کوم چي په 2012 کښ د بريطانيه په يو فلمي ميلې کښ نمائش/ نندارتون ته وړاندې شو۔ دا فلم د خپلې موضوع له کبله په لويديزو هيوادونو کښ ډير وستائل شو او صفتونه ئ اشول۔ دي فلم په لومړي ځل د ناروې لپاره په جاري امورو په شان معتبر او مشکل درجه کښ ''''ايمي'''' ايوارډ وگټو۔ د دې نه علاوه په امريکا کښ''''پي باډي ايوارډ'''' او ''''برگن'''' نړيوال فلمي ميله کښ لومړې ايوارډ/جائزه ترلاسه کړو۔ دا دې ايوارډونو نه علاوه دا فلم د بريطانيه د پوليسو د تربيې په نصاب کښ هم شامل کړې شو۔"
,it,"Nella musica si ricordano fra le tante: New York, New York di Frank Sinatra, Welcome to NYC ed Empire State of Mind di Jay-Z, Welcome to New York di Taylor Swift, New York City Serenade di Bruce Springsteen, New York di Bryan Adams, Harlem di Duke Ellington, Angel of Harlem degli U2, Leaving New York dei R.E.M., Shattered dei Rolling Stones e I Love New York di Madonna."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
,so,"je - meeleeye; Preni iun je la mano (= lia), per la mano (= sia).Konduki iun je la nazo. (je estas rolvorteto sen difinita signifo. Ĝenerale oni evitu je, se pli bona alternativo ekzistas.)"
,mn,"Хэмжээт эрхт хаант засаг - хааны эрх хэмжээг Үндсэн хуулийн дагуу хууль тогтоох (парламент), гүйцэтгэх (засгийн газар), шүүх эрх мэдлээр хязгаарласан төрийн удирдлагын хэлбэр. Хааны эрх хэмжээг Үндсэн хуулиар хязгаарласныг шалгуур болгон хэмжээт эрхт хаант улсыг дуалист, парламентын хэмээн ангилж болно."
,mn,"Карибын тэнгисийн дээрэмчид: Нууцлаг түрлэг (англ. Pirates of the Caribbean: On Stranger Tides) нь 2011 оны уран зөгнөлт, адал явдалт кино бөгөөд ахмад Жек Спарроугийн дуусашгүй адал явдал хуучин амраг Анжелика, эртний дайсан Хар сахалт нартай уулзсанаар эхэлнэ. Уг кино нь Карибын тэнгисийн дээрэмчид цувралын дөрөв дэх цуврал юм."
,vi,"Tháng 1 năm 2013, Shayne Ward trở thành một trong số 12 người nổi tiếng được tham gia Dancing on Ice. Được bắt cặp với nữ nghệ sĩ trượt băng Maria Filippov, nhưng cả hai đã bị loại sau tập 5 của chương trình. Tháng 2 năm 2014, Shayne ra mắt bản song ca mang tên Falling Slowly với Louise Dearman. Năm 2014, Shayne tham gia dàn cát của The War of the Worlds - phiên bản nhạc kịch của Jeff Wayne."
,vi,"Crom(III) sulfat hydrat, Cr2(SO4)3.15(H2O), (CAS # 10031-37-5) là một chất rắn màu xanh lá cây cũng dễ dàng tan trong nước. Nó thu được bằng cách nung nóng 18H2O trên 70 ° C. Việc nung tiếp tục tạo ra sulfat khan."
,mn,"Монголд ирэн, алтан ургийн угсаат ханы хатан болж, гурван хүү төрүүлж өсгөсөн бөгөөд Монгол нутаг, Монголчуудад ихэд элгэмсүү хандаж байсан түүнийг нас барсны дараа гэрээслэл ёсоор Монгол нутагт хөдөөлүүлсэн аж. Одоогийн Тэрэлжид орших ''''Гүнжийн сүм''''-д Гүнж хатны шарлийг хадгалсан бөгөөд 1938 онд хүртэл хадгалагдан байв."
,hu,"Nošovice település Csehországban, a Frýdek-místeki járásban. Nošovice Frýdek-Místek, Vojkovice, Pazderna, Nižní Lhoty, Dobratice, Horní Domaslavice és Dobrá településekkel határos. Lakosainak száma 1030 fő (2017. jan. 1.)."
,fr,"Inscriptions antiques des Pyrénées. Hitzaurrea M. Albert Lebèguek eginda. Tolosa, XII-576p. (Bibliothèque méridionale. 2e série,1892. ; 2). Berrargitalpena fakzimilean, Tolosa, ESPER, 1990."
,de,"18. Januar: Charles de Secondat, Baron de Montesquieu, französischer Schriftsteller, Philosoph und Staatstheoretiker der Aufklärung († 1755)"
,hi,"चार्ल्स पंचम का पुत्र फिलिप द्वितीय स्पेन के शक्तिविस्तार में लगा रहा। उसने निचले प्रदेशों पर अपना सीधा स्वामित्व स्थापित करने के लिए वहाँ की राजनीतिक, आर्थिक और धार्मिक स्वतंत्रता का दमन किया। फलस्वरूप रोमन कैथोलिकों और प्रोटेस्टेंटों ने विद्रोह कर दिया। यह विद्रोह व्यापक रूप से १० वर्षों तक चला। १५७७ में प्रदेश का बड़ा भाग फिलिप द्वितीय की दमन नीति से मुक्त हो गया और विलियम उसका शासक बना। किंतु उत्तरी और दक्षिणी प्रांतों की एकता कायम न रह सकी। १५७८ में दक्षिणी प्रांत (वर्तमान वेल्जियम) विलियम के विरुद्ध हो गया। १५७९ में सात उत्तरी प्रांतों का यूट्रेक्ट संघ (Union of Utrecht) बना, जिसमें हालैंड का स्थान महत्वपूर्ण था।"
,mn,"Оросын Сочи хотноо зохиогдсон 22 дахь удаагийн Өвлийн олимпийн наадамд Вита Семеренко, Валентина Семеренко болон Юлия Жима нарын хамт буухиа уралдаанд аварга болсон юм."
,mn,"Тавдугаар сарын 14 - Португалийн ерөнхийлөгч Мануэль де Арриажагийн эсрэг хувьсгал дэгдэв. Хувьсгалыг цэргүүдийн сэдэлтэйгээр өрнүүлжээ. Засгийн газар болон босогчдын хооронд болсон хүчтэй тулааны улмаас 200 энгийн иргэн амиа алдаж, 1,000 гаруй хүн шархадсан байна."
,cs,"Split jazyka neboli hadí jazyk se provádí proříznutím jazyka od špičky směrem dozadu a následnou úpravou rány tak, aby již nekrvácela a opět nesrostla. Tím jazyk získá rozeklaný tvar a obě poloviny je možné kontrolovat nezávisle na sobě."
,mn,"Анагаах болон Уламжлалт анагаахын сургууль 6 жил, Био-анагаах, Нүүр ам судлал, Нийгмийн эрүүл мэнд, Эм зүйн сургууль 5 жил, бусад салбар сургуулиуд 4-5 жилийн сургалтын хөтөлбөртэй ЮМ"
