language,precision,recall,accuracy,f1-score,specificity,samples
af,97.79,99.15,99.97,98.47,99.98,2009
am,100,99.55,100,99.78,100,2009
ar,100,99.02,99.94,99.51,100,12054
as,99.9,99.5,99.99,99.7,100,2009
az,99.7,99.4,99.99,99.55,100,2009
be,100,87.66,99.88,93.42,100,2009
bg,99.43,94.87,99.94,97.1,99.99,2009
bn,99.11,99.75,99.99,99.43,99.99,2009
ca,99.35,99.4,99.99,99.38,99.99,2009
cs,98.49,97.66,99.96,98.08,99.99,2009
cy,99.8,100,100,99.9,100,2009
da,99.58,95.42,99.95,97.46,100,2009
de,99.5,99.85,99.99,99.68,100,2009
el,99.85,100,100,99.93,100,2009
en,92.66,99.85,99.92,96.12,99.92,2009
eo,99.4,99.55,99.99,99.48,99.99,2009
es,95.52,97.71,99.93,96.6,99.95,2009
et,99.85,98.16,99.98,99,100,2009
eu,99.8,100,100,99.9,100,2009
fa,98.72,100,99.99,99.36,99.99,2009
fi,99.59,97.56,99.97,98.57,100,2009
fr,99.06,99.8,99.99,99.43,99.99,2009
ga,99.9,99.75,100,99.83,100,2009
gd,99.7,99.95,100,99.83,100,2009
gl,96.76,93.68,99.91,95.19,99.97,2009
gn,99.45,99.65,99.99,99.55,99.99,2009
gu,100,99.95,100,99.98,100,2009
ha,98.92,99.9,99.99,99.41,99.99,2009
he,100,99.65,100,99.83,100,2009
hi,92.07,100,99.91,95.87,99.91,2009
hr,97.87,98.16,99.96,98.01,99.98,2009
ht,99.65,99.85,100,99.75,100,2009
hu,99.9,99.5,99.99,99.7,100,2009
hy,100,99.9,100,99.95,100,2009
id,99.31,99.85,99.99,99.58,99.99,2009
ig,99.55,99.85,99.99,99.7,100,2009
is,100,99.85,100,99.93,100,2009
it,99.65,99.6,99.99,99.63,100,2009
ja,100,100,100,100,100,2009
jv,98.91,99.7,99.99,99.31,99.99,2009
ka,100,99.7,100,99.85,100,2009
kk,100,94.67,99.95,97.26,100,2009
km,72.32,100,99.62,83.94,99.62,2009
kn,100,99.25,99.99,99.63,100,2009
ko,88.58,100,99.87,93.94,99.87,2009
ku,99.85,99.65,100,99.75,100,2009
ky,100,96.32,99.96,98.12,100,2009
lg,99.6,98.16,99.98,98.87,100,2009
li,99.54,95.97,99.96,97.72,100,2009
ln,99.55,99.9,99.99,99.73,100,2009
lo,100,100,100,100,100,2009
lt,99.7,99.2,99.99,99.45,100,2009
lv,99.8,99.4,99.99,99.6,100,2009
mk,98.54,97.66,99.96,98.1,99.99,2009
ml,100,97.31,99.97,98.64,100,2009
mr,99.16,99.5,99.99,99.33,99.99,2009
my,100,65.36,99.66,79.05,100,2009
ne,98.41,98.51,99.97,98.46,99.98,2009
nl,97.06,98.56,99.96,97.8,99.97,2009
om,99.95,99.95,100,99.95,100,2009
or,100,99.9,100,99.95,100,2009
pa,100,100,100,100,100,2009
pl,99.6,98.9,99.99,99.25,100,2009
pt,97.67,49.1,98.97,65.35,99.98,4018
qu,99.04,97.51,99.97,98.27,99.99,2009
ro,99.6,99.75,99.99,99.68,100,2009
ru,99.94,90.19,99.9,94.82,100,2009
sa,100,92.63,99.93,96.18,100,2009
sd,99.01,100,99.99,99.5,99.99,2009
si,100,100,100,100,100,2009
sk,99.08,96.81,99.96,97.94,99.99,2009
sl,98.88,96.67,99.96,97.76,99.99,2009
so,99.95,99.95,100,99.95,100,2009
sr,99.89,94.38,99.94,97.06,100,2009
su,99.8,98.46,99.98,99.12,100,2009
sv,99.45,99.4,99.99,99.43,99.99,2009
sw,98.67,99.7,99.98,99.18,99.99,2009
ta,100,99.55,100,99.78,100,2009
te,100,99.5,100,99.75,100,2009
th,100,100,100,100,100,2009
tl,99.46,100,99.99,99.73,99.99,2009
tn,99,93.93,99.93,96.4,99.99,2009
tr,98.91,99,99.98,98.96,99.99,2009
ug,99.9,99.85,100,99.88,100,2009
uk,100,90.84,99.91,95.2,100,2009
ur,99.8,100,100,99.9,100,2009
uz,99.85,99.6,99.99,99.73,100,2009
vi,99.95,100,100,99.98,100,2009
wo,99.7,99.55,99.99,99.63,100,2009
xh,100,95.87,99.96,97.89,100,2009
yi,99.9,100,100,99.95,100,2009
yo,99.8,99.35,99.99,99.58,100,2009
zh,100,100,100,100,100,6027
Micro,97.74,97.29,99.95,97.51,99.98,202909
Macro,98.9,97.66,99.96,98.11,99.99,202909
