language,precision,recall,accuracy,f1-score,specificity,samples
af,98.46,98.81,99.97,98.63,99.98,2009
am,100,100,100,100,100,2009
ar,100,99.93,100,99.97,100,12054
as,100,99.9,100,99.95,100,2009
az,99.85,99.9,100,99.88,100,2009
be,100,99.35,99.99,99.68,100,2009
bg,99.9,99.05,99.99,99.48,100,2009
bn,90.29,100,99.89,94.9,99.89,2009
ca,97.49,98.66,99.96,98.07,99.97,2009
cs,99.31,99.8,99.99,99.55,99.99,2009
cy,98.82,100,99.99,99.41,99.99,2009
da,99.8,97.11,99.97,98.44,100,2009
de,99.7,99.65,99.99,99.68,100,2009
el,99.95,100,100,99.98,100,2009
en,84.55,99.95,99.81,91.61,99.81,2009
es,97.7,97.21,99.95,97.46,99.98,2009
et,99.5,99.8,99.99,99.65,99.99,2009
fa,100,100,100,100,100,2009
fi,96.76,99.75,99.96,98.24,99.96,2009
fr,99.16,99.6,99.99,99.38,99.99,2009
ga,99.11,100,99.99,99.55,99.99,2009
gl,96.62,96.76,99.93,96.69,99.96,2009
gu,100,100,100,100,100,2009
ha,96.07,99.9,99.96,97.95,99.96,2009
he,100,99.95,100,99.98,100,2009
hi,99.6,100,100,99.8,100,2009
hr,98.77,99.8,99.98,99.28,99.99,2009
hu,98.72,99.9,99.99,99.31,99.99,2009
hy,100,100,100,100,100,2009
id,94.01,100,99.93,96.91,99.93,2009
ig,99.85,99.9,100,99.88,100,2009
is,96.21,99.9,99.96,98.02,99.96,2009
it,99.41,99.9,99.99,99.65,99.99,2009
ja,100,100,100,100,100,2009
jv,97.85,99.8,99.98,98.82,99.98,2009
ka,100,100,100,100,100,2009
kk,100,99.65,100,99.83,100,2009
km,96.87,100,99.97,98.41,99.97,2009
kn,100,99.95,100,99.98,100,2009
ko,98.72,100,99.99,99.36,99.99,2009
ky,99.95,99.85,100,99.9,100,2009
lb,99.31,99.8,99.99,99.55,99.99,2009
lg,97.03,99.05,99.96,98.03,99.97,2009
ln,99.16,100,99.99,99.58,99.99,2009
lo,100,100,100,100,100,2009
lt,99.5,99.95,99.99,99.73,99.99,2009
lv,100,100,100,100,100,2009
mi,92.92,99.9,99.92,96.28,99.92,2009
mk,99.6,99.5,99.99,99.55,100,2009
ml,100,99.85,100,99.93,100,2009
mr,100,99.9,100,99.95,100,2009
mt,98.87,100,99.99,99.43,99.99,2009
my,100,83.72,99.83,91.14,100,2009
ne,100,99.7,100,99.85,100,2009
nl,99.06,99.7,99.99,99.38,99.99,2009
ny,97.85,99.9,99.98,98.87,99.98,2009
oc,98.9,98.86,99.95,98.88,99.98,4018
om,98.87,99.95,99.99,99.41,99.99,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,97.81,99.9,99.98,98.84,99.98,2009
pt,98.32,49.63,98.93,65.96,99.98,4018
ro,99.41,100,99.99,99.7,99.99,2009
ru,99.95,98.9,99.99,99.42,100,2009
sd,99.9,100,100,99.95,100,2009
sk,97.93,98.9,99.97,98.42,99.98,2009
sl,99.75,99.2,99.99,99.48,100,2009
sn,98.19,99.95,99.98,99.06,99.98,2009
so,96.17,99.95,99.96,98.02,99.96,2009
sr,99.9,99.1,99.99,99.5,100,2009
sv,99.5,99.5,99.99,99.5,99.99,2009
sw,96.72,99.95,99.96,98.31,99.96,2009
ta,100,100,100,100,100,2009
te,100,99.9,100,99.95,100,2009
tg,100,99.95,100,99.98,100,2009
th,100,100,100,100,100,2009
tl,97.16,98.66,99.96,97.9,99.97,2009
tr,98.87,99.9,99.99,99.38,99.99,2009
uk,100,99.45,99.99,99.73,100,2009
ur,100,100,100,100,100,2009
uz,99.7,100,100,99.85,100,2009
vi,99.46,100,99.99,99.73,99.99,2009
wo,99.21,99.45,99.99,99.33,99.99,2009
xh,86.49,94.92,99.79,90.51,99.84,2009
yo,99.5,99.5,99.99,99.5,99.99,2009
zh,100,100,100,100,100,6027
zu,95.49,85.37,99.81,90.14,99.96,2009
Micro,98.42,98.27,99.97,98.35,99.98,192864
Macro,98.55,98.69,99.96,98.49,99.98,192864
