language,precision,recall,accuracy,f1-score,specificity,samples
af,98.95,98.71,99.98,98.83,99.99,2009
am,100,100,100,100,100,2009
ar,100,99.9,99.99,99.95,100,12054
as,100,99.95,100,99.98,100,2009
az,99.98,99.93,100,99.95,100,2009
be,99.95,99.53,99.99,99.74,100,2009
bg,99.7,99.45,99.99,99.58,100,2009
bn,99.36,100,99.99,99.68,99.99,2009
ca,99.73,99.68,99.99,99.7,100,2009
cs,99.06,99.73,99.99,99.39,99.99,2009
cy,99.95,100,100,99.98,100,2009
da,99.77,97.88,99.98,98.82,100,2009
de,99.38,99.85,99.99,99.62,99.99,2009
el,99.88,100,100,99.94,100,2009
en,93.59,99.93,99.93,96.65,99.93,2009
eo,99.58,99.93,100,99.75,100,2009
es,97.22,97.39,99.95,97.3,99.97,2009
et,99.8,99.83,100,99.81,100,2009
eu,99.85,100,100,99.93,100,2009
fa,99.8,100,100,99.9,100,2009
fi,99.93,99.73,100,99.83,100,2009
fr,99.58,99.88,99.99,99.73,100,2009
ga,99.7,100,100,99.85,100,2009
gd,99.88,99.98,100,99.93,100,2009
gl,94.51,97.71,99.92,96.08,99.94,2009
gn,99.55,99.8,99.99,99.68,100,2009
gu,99.98,100,100,99.99,100,2009
ha,99.55,99.83,99.99,99.69,100,2009
he,100,99.93,100,99.96,100,2009
hi,92.09,100,99.91,95.88,99.91,2009
hr,99.04,99.75,99.99,99.39,99.99,2009
ht,99.78,99.9,100,99.84,100,2009
hu,99.85,99.83,100,99.84,100,2009
hy,100,100,100,100,100,2009
id,99.09,99.9,99.99,99.49,99.99,2009
ig,99.75,99.9,100,99.83,100,2009
is,99.88,99.93,100,99.9,100,2009
it,99.55,99.88,99.99,99.71,100,2009
ja,100,100,100,100,100,2009
jv,98.07,99.83,99.98,98.94,99.98,2009
ka,100,100,100,100,100,2009
kk,99.98,99.68,100,99.83,100,2009
km,95.37,100,99.95,97.63,99.95,2009
kn,99.98,99.95,100,99.96,100,2009
ko,98.14,100,99.98,99.06,99.98,2009
ku,99.85,99.88,100,99.86,100,2009
ky,100,99.88,100,99.94,100,2009
lg,99.7,99.25,99.99,99.48,100,2009
li,97.88,97.59,99.96,97.73,99.98,2009
ln,99.93,99.98,100,99.95,100,2009
lo,100,100,100,100,100,2009
lt,99.9,99.95,100,99.93,100,2009
lv,99.93,100,100,99.96,100,2009
mk,99.28,99.7,99.99,99.49,99.99,2009
ml,100,99.85,100,99.93,100,2009
mr,99.6,99.95,100,99.78,100,2009
my,100,83.77,99.84,91.17,100,2009
ne,99.36,99.75,99.99,99.55,99.99,2009
nl,96.83,98.98,99.96,97.9,99.97,2009
om,99.95,99.95,100,99.95,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.78,99.83,100,99.8,100,2009
pt,96.37,49.93,98.97,65.78,99.96,4018
qu,99.82,99.05,99.99,99.44,100,2009
ro,99.9,99.9,100,99.9,100,2009
ru,99.87,99.15,99.99,99.51,100,2009
sa,99.97,97.21,99.97,98.57,100,2009
sd,99.85,100,100,99.93,100,2009
si,100,100,100,100,100,2009
sk,99.67,99.03,99.99,99.35,100,2009
sl,99.58,99.25,99.99,99.41,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.88,99.55,99.99,99.71,100,2009
su,99.8,99.18,99.99,99.49,100,2009
sv,99.33,99.55,99.99,99.44,99.99,2009
sw,99.01,99.93,99.99,99.47,99.99,2009
ta,100,100,100,100,100,2009
te,100,99.9,100,99.95,100,2009
th,100,100,100,100,100,2009
tl,99.38,99.93,99.99,99.65,99.99,2009
tn,99.47,98.08,99.98,98.77,99.99,2009
tr,99.6,99.85,99.99,99.73,100,2009
ug,100,99.95,100,99.98,100,2009
uk,99.93,99.55,99.99,99.74,100,2009
ur,100,100,100,100,100,2009
uz,99.8,100,100,99.9,100,2009
vi,99.9,100,100,99.95,100,2009
wo,99.78,99.35,99.99,99.56,100,2009
xh,99.77,99.25,99.99,99.51,100,2009
yi,99.95,100,100,99.98,100,2009
yo,99.93,99.5,99.99,99.71,100,2009
zh,100,100,100,100,100,6027
Micro,98.3,98.53,99.97,98.42,99.98,202909
Macro,99.37,98.95,99.98,99.07,99.99,202909
