language,precision,recall,accuracy,f1-score,specificity,samples
af,99.5,98.9,99.98,99.2,99.99,2009
am,100,99.9,100,99.95,100,2009
ar,100,99.82,99.99,99.91,100,12054
bg,99.85,98.66,99.98,99.25,100,2009
bn,99.75,100,100,99.88,100,2009
bs,64.89,44.35,99.18,52.69,99.75,2009
ca,99.7,99.6,99.99,99.65,100,2009
cs,99.4,99.45,99.99,99.43,99.99,2009
cy,99.95,100,100,99.98,100,2009
da,99.59,96.52,99.96,98.03,100,2009
de,99.75,99.6,99.99,99.68,100,2009
el,99.95,100,100,99.98,100,2009
en,94.76,99.95,99.94,97.29,99.94,2009
eo,99.5,99.95,99.99,99.73,99.99,2009
es,97.56,97.41,99.95,97.48,99.97,2009
et,100,99.3,99.99,99.65,100,2009
eu,99.95,100,100,99.98,100,2009
fa,99.7,100,100,99.85,100,2009
fi,99.85,99.35,99.99,99.6,100,2009
fr,99.85,99.8,100,99.83,100,2009
ga,99.75,100,100,99.88,100,2009
gd,99.95,99.95,100,99.95,100,2009
gl,97.82,96.02,99.94,96.91,99.98,2009
gu,100,100,100,100,100,2009
ha,99.7,99.9,100,99.8,100,2009
hi,95.35,100,99.95,97.62,99.95,2009
hr,57.97,75.86,99.18,65.72,99.43,2009
ht,99.95,99.9,100,99.93,100,2009
hu,99.95,99.7,100,99.83,100,2009
hy,100,100,100,100,100,2009
id,82.8,96.32,99.76,89.05,99.79,2009
ig,99.9,99.9,100,99.9,100,2009
is,99.95,99.9,100,99.93,100,2009
it,99.9,99.7,100,99.8,100,2009
ja,100,100,100,100,100,2009
jv,99.16,99.8,99.99,99.48,99.99,2009
ka,100,99.95,100,99.98,100,2009
kk,99.95,99.4,99.99,99.68,100,2009
km,95.08,100,99.95,97.48,99.95,2009
kn,100,99.95,100,99.98,100,2009
ko,97.57,100,99.97,98.77,99.97,2009
ku,100,99.85,100,99.93,100,2009
ky,100,99.4,99.99,99.7,100,2009
lb,99.8,99.65,99.99,99.73,100,2009
lo,100,100,100,100,100,2009
lt,99.95,99.85,100,99.9,100,2009
lv,100,99.85,100,99.93,100,2009
mi,99.95,99.8,100,99.88,100,2009
mk,99.3,99.5,99.99,99.4,99.99,2009
ml,100,99.75,100,99.88,100,2009
mr,100,99.9,100,99.95,100,2009
ms,95.84,80.19,99.76,87.32,99.96,2009
mt,100,100,100,100,100,2009
my,100,80.64,99.8,89.28,100,2009
ne,100,99.55,100,99.78,100,2009
nl,99.21,99.55,99.99,99.38,99.99,2009
ny,99.95,99.8,100,99.88,100,2009
pa,100,100,100,100,100,2009
pl,99.95,99.7,100,99.83,100,2009
pt,98.47,49.68,98.95,66.04,99.98,4018
ro,99.9,99.8,100,99.85,100,2009
ru,99.95,97.76,99.98,98.84,100,2009
sd,99.7,100,100,99.85,100,2009
si,100,100,100,100,100,2009
sk,99.8,98.9,99.99,99.35,100,2009
sl,99.45,98.41,99.98,98.92,99.99,2009
sm,99.85,99.9,100,99.88,100,2009
sn,99.95,99.85,100,99.9,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.95,98.16,99.98,99.05,100,2009
st,100,99.7,100,99.85,100,2009
su,99.9,99,99.99,99.45,100,2009
sv,99.9,99.25,99.99,99.58,100,2009
sw,99.16,99.95,99.99,99.55,99.99,2009
ta,100,99.9,100,99.95,100,2009
te,100,99.8,100,99.9,100,2009
tg,100,99.9,100,99.95,100,2009
th,100,100,100,100,100,2009
tl,99.35,98.66,99.98,99,99.99,2009
tr,99.55,99.8,99.99,99.68,100,2009
uk,99.95,98.51,99.98,99.22,100,2009
ur,99.95,100,100,99.98,100,2009
uz,99.95,99.95,100,99.95,100,2009
vi,100,100,100,100,100,2009
xh,87.3,94.13,99.8,90.59,99.86,2009
yi,100,100,100,100,100,2009
yo,99.9,99.45,99.99,99.68,100,2009
zh,100,100,100,100,100,6027
zu,95.4,85.66,99.81,90.27,99.96,2009
Micro,97.31,97.12,99.94,97.21,99.97,194873
Macro,98.31,97.44,99.95,97.72,99.98,194873
