language,precision,recall,accuracy,f1-score,specificity,samples
af,98.79,97.46,99.96,98.12,99.99,2009
am,100,100,100,100,100,2009
ar,100,99.88,99.99,99.94,100,12054
as,100,99.9,100,99.95,100,2009
az,100,99.9,100,99.95,100,2009
ba,99.9,99.4,99.99,99.65,100,2009
be,100,99.2,99.99,99.6,100,2009
bg,99.85,98.41,99.98,99.12,100,2009
bn,99.65,100,100,99.83,100,2009
bo,84.66,100,99.83,91.69,99.83,2009
ca,97.47,97.71,99.95,97.59,99.98,2009
cs,99.26,99.65,99.99,99.45,99.99,2009
cv,99.95,98.76,99.99,99.35,100,2009
cy,100,100,100,100,100,2009
da,99.74,96.27,99.96,97.97,100,2009
de,99.95,93.78,99.94,96.76,100,2009
el,100,100,100,100,100,2009
en,91.47,99.85,99.91,95.48,99.91,2009
eo,99.75,99.4,99.99,99.58,100,2009
es,98.33,85.02,99.84,91.19,99.99,2009
et,100,99.65,100,99.83,100,2009
eu,99.95,99.95,100,99.95,100,2009
fa,100,99.85,100,99.93,100,2009
fi,100,99.7,100,99.85,100,2009
fr,99.75,98.36,99.98,99.05,100,2009
ga,99.95,99.9,100,99.93,100,2009
gd,99.95,99.95,100,99.95,100,2009
gl,97.08,94.18,99.92,95.6,99.97,2009
gn,99.75,99.75,100,99.75,100,2009
gu,100,100,100,100,100,2009
he,100,99.9,100,99.95,100,2009
hi,95.3,100,99.95,97.6,99.95,2009
hr,99.45,99.5,99.99,99.48,99.99,2009
ht,99.9,99.75,100,99.83,100,2009
hu,99.95,99.75,100,99.85,100,2009
hy,100,100,100,100,100,2009
id,84.19,95.72,99.79,89.59,99.83,2009
is,100,100,100,100,100,2009
it,99.78,92.19,99.92,95.83,100,2009
ja,100,100,100,100,100,2009
jv,98.72,99.7,99.98,99.21,99.99,2009
ka,100,100,100,100,100,2009
kk,100,99.45,99.99,99.73,100,2009
km,91.03,100,99.91,95.3,99.91,2009
kn,100,99.95,100,99.98,100,2009
ko,93.4,100,99.93,96.59,99.93,2009
ku,99.95,99.55,100,99.75,100,2009
ky,100,99.75,100,99.88,100,2009
lb,99.01,99.7,99.99,99.36,99.99,2009
li,97.63,96.57,99.95,97.1,99.98,2009
lo,100,100,100,100,100,2009
lt,100,99.95,100,99.98,100,2009
lv,100,100,100,100,100,2009
mk,99.5,98.86,99.98,99.18,100,2009
ml,100,99.85,100,99.93,100,2009
mr,99.9,99.75,100,99.83,100,2009
ms,95.05,82.28,99.79,88.21,99.96,2009
mt,100,99.95,100,99.98,100,2009
my,100,83.77,99.85,91.17,100,2009
ne,100,98.9,99.99,99.45,100,2009
nl,98.71,95.02,99.94,96.83,99.99,2009
nn,98.91,94.72,99.94,96.77,99.99,2009
oc,99.1,98.13,99.95,98.61,99.98,4018
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.95,99.75,100,99.85,100,2009
pt,97.36,48.63,99,64.86,99.97,4018
qu,99.95,99.05,99.99,99.5,100,2009
ro,99.9,99.75,100,99.83,100,2009
ru,99.89,88.65,99.89,93.93,100,2009
sa,100,81.48,99.82,89.8,100,2009
sc,99.7,99.2,99.99,99.45,100,2009
sd,99.9,100,100,99.95,100,2009
si,100,100,100,100,100,2009
sk,99.8,98.9,99.99,99.35,100,2009
sl,99.85,99,99.99,99.43,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.9,98.86,99.99,99.37,100,2009
su,99.95,98.56,99.99,99.25,100,2009
sv,99.45,98.9,99.98,99.18,99.99,2009
sw,99.45,99.9,99.99,99.68,99.99,2009
ta,100,100,100,100,100,2009
te,100,99.9,100,99.95,100,2009
tg,100,99.85,100,99.93,100,2009
th,100,100,100,100,100,2009
tk,100,99.95,100,99.98,100,2009
tl,99.69,96.37,99.96,98,100,2009
tr,99.7,99.65,99.99,99.68,100,2009
ug,100,99.95,100,99.98,100,2009
uk,100,98.81,99.99,99.4,100,2009
ur,100,99.9,100,99.95,100,2009
uz,99.85,100,100,99.93,100,2009
vi,100,100,100,100,100,2009
yi,99.95,100,100,99.98,100,2009
yo,100,99.4,99.99,99.7,100,2009
zh,100,100,100,100,100,6027
Micro,97.66,97.52,99.97,97.59,99.99,210945
Macro,99.05,97.84,99.96,98.31,99.99,210945
