language,precision,recall,accuracy,f1-score,specificity,samples
af,99.4,98.41,99.98,98.9,99.99,2009
am,100,100,100,100,100,2009
ar,100,99.89,99.99,99.95,100,12054
as,100,99.9,100,99.95,100,2009
az,100,99.9,100,99.95,100,2009
be,100,99.4,99.99,99.7,100,2009
bg,99.9,99.3,99.99,99.6,100,2009
bn,99.6,100,100,99.8,100,2009
bs,68.19,39.37,99.24,49.92,99.82,2009
ca,100,99.55,100,99.78,100,2009
cs,99.4,99.7,99.99,99.55,99.99,2009
cy,100,100,100,100,100,2009
da,99.9,96.67,99.97,98.25,100,2009
de,99.65,99.85,100,99.75,100,2009
el,99.95,100,100,99.98,100,2009
en,94.8,99.85,99.95,97.26,99.95,2009
eo,99.65,99.85,100,99.75,100,2009
es,98.47,96.17,99.95,97.31,99.99,2009
et,99.95,99.8,100,99.88,100,2009
eu,99.95,100,100,99.98,100,2009
fa,99.9,100,100,99.95,100,2009
fi,100,99.7,100,99.85,100,2009
fr,99.8,99.75,100,99.78,100,2009
ga,99.9,100,100,99.95,100,2009
gd,99.95,99.95,100,99.95,100,2009
gl,97.15,96.86,99.94,97.01,99.97,2009
gn,99.6,99.8,99.99,99.7,100,2009
gu,100,100,100,100,100,2009
ha,99.65,99.8,99.99,99.73,100,2009
he,100,99.9,100,99.95,100,2009
hi,93.23,100,99.93,96.49,99.93,2009
hr,57.2,81.28,99.24,67.15,99.41,2009
ht,99.95,99.85,100,99.9,100,2009
hu,100,99.8,100,99.9,100,2009
hy,100,100,100,100,100,2009
id,83.52,95.87,99.78,89.27,99.82,2009
ig,99.85,99.9,100,99.88,100,2009
is,99.95,99.9,100,99.93,100,2009
it,99.65,99.85,100,99.75,100,2009
ja,100,100,100,100,100,2009
jv,98.82,99.8,99.99,99.31,99.99,2009
ka,100,100,100,100,100,2009
kk,100,99.65,100,99.83,100,2009
km,97.19,100,99.97,98.58,99.97,2009
kn,100,99.95,100,99.98,100,2009
ko,99.06,100,99.99,99.53,99.99,2009
ku,99.95,99.85,100,99.9,100,2009
ky,100,99.85,100,99.93,100,2009
lg,99.75,99.2,99.99,99.48,100,2009
li,98.54,97.36,99.96,97.95,99.99,2009
ln,100,99.95,100,99.98,100,2009
lo,100,100,100,100,100,2009
lt,99.95,99.95,100,99.95,100,2009
lv,100,100,100,100,100,2009
mk,99.7,99.55,99.99,99.63,100,2009
ml,100,99.85,100,99.93,100,2009
mr,99.75,99.9,100,99.83,100,2009
ms,95.27,81.13,99.78,87.63,99.96,2009
my,100,83.72,99.84,91.14,100,2009
ne,99.6,99.65,99.99,99.63,100,2009
nl,97.92,98.46,99.97,98.19,99.98,2009
om,99.95,99.95,100,99.95,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.9,99.8,100,99.85,100,2009
pt,97.75,49.83,99.01,66.01,99.98,4018
qu,99.9,98.95,99.99,99.42,100,2009
ro,100,99.9,100,99.95,100,2009
ru,99.95,99,99.99,99.47,100,2009
sa,100,96.52,99.97,98.23,100,2009
sd,99.85,100,100,99.93,100,2009
si,100,100,100,100,100,2009
sk,99.8,98.9,99.99,99.35,100,2009
sl,99.7,99.1,99.99,99.4,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.95,99.45,99.99,99.7,100,2009
su,100,98.86,99.99,99.42,100,2009
sv,99.75,99.45,99.99,99.6,100,2009
sw,99.26,99.9,99.99,99.58,99.99,2009
ta,100,100,100,100,100,2009
te,100,99.9,100,99.95,100,2009
th,100,100,100,100,100,2009
tl,99.55,99.9,99.99,99.73,100,2009
tn,99.8,97.31,99.97,98.54,100,2009
tr,99.8,99.85,100,99.83,100,2009
ug,100,99.95,100,99.98,100,2009
uk,100,99.45,99.99,99.73,100,2009
ur,100,100,100,100,100,2009
uz,99.9,100,100,99.95,100,2009
vi,100,100,100,100,100,2009
wo,99.9,99.2,99.99,99.55,100,2009
xh,86.73,94.97,99.81,90.66,99.86,2009
yi,99.95,100,100,99.98,100,2009
yo,100,99.4,99.99,99.7,100,2009
zh,100,100,100,100,100,6027
zu,95.53,85.02,99.82,89.97,99.96,2009
Micro,97.47,97.32,99.95,97.4,99.98,208936
Macro,98.44,97.63,99.96,97.87,99.98,208936
