language,precision,recall,accuracy,f1-score,specificity,samples
af,99.06,99.9,99.99,99.48,99.99,2009
am,100,99.95,100,99.98,100,2009
ar,100,99.78,99.99,99.89,100,12054
as,100,99.95,100,99.98,100,2009
az,100,99.9,100,99.95,100,2009
be,100,100,100,100,100,2009
bg,99.75,99.8,100,99.78,100,2009
bn,99.85,100,100,99.93,100,2009
bs,66.28,36.68,99.21,47.23,99.82,2009
ca,99.8,99.85,100,99.83,100,2009
cs,99.8,99.5,99.99,99.65,100,2009
cy,99.95,99.95,100,99.95,100,2009
da,99.8,98.21,99.98,99,100,2009
de,99.85,99.85,100,99.85,100,2009
el,99.95,100,100,99.98,100,2009
en,95.12,100,99.95,97.5,99.95,2009
eo,99.85,100,100,99.93,100,2009
es,97.28,99.85,99.97,98.55,99.97,2009
et,100,99.4,99.99,99.7,100,2009
eu,99.95,99.95,100,99.95,100,2009
fa,99.8,99.9,100,99.85,100,2009
fi,99.95,99.55,100,99.75,100,2009
fr,99.7,99.9,100,99.8,100,2009
ga,99.9,100,100,99.95,100,2009
gd,99.9,100,100,99.95,100,2009
gl,99.2,98.61,99.98,98.9,99.99,2009
gn,99.95,99.6,100,99.78,100,2009
gu,100,100,100,100,100,2009
ha,99.45,99.9,99.99,99.68,99.99,2009
he,100,99.75,100,99.88,100,2009
hi,91.57,100,99.91,95.6,99.91,2009
hr,56.29,81.53,99.21,66.6,99.39,2009
ht,99.75,99.95,100,99.85,100,2009
hu,99.95,99.55,100,99.75,100,2009
hy,100,99.95,100,99.98,100,2009
id,75.99,98.31,99.69,85.72,99.7,2009
ig,99.75,99.95,100,99.85,100,2009
is,100,99.9,100,99.95,100,2009
it,99.9,99.9,100,99.9,100,2009
ja,100,100,100,100,100,2009
jv,99.16,99.75,99.99,99.45,99.99,2009
ka,100,100,100,100,100,2009
kk,99.95,99.8,100,99.88,100,2009
km,99.85,100,100,99.93,100,2009
kn,100,99.95,100,99.98,100,2009
ko,99.85,100,100,99.93,100,2009
ku,99.8,99.75,100,99.78,100,2009
ky,100,100,100,100,100,2009
lg,99.85,99.25,99.99,99.55,100,2009
li,99.59,97.66,99.97,98.62,100,2009
ln,99.21,99.95,99.99,99.58,99.99,2009
lo,100,100,100,100,100,2009
lt,99.95,99.7,100,99.83,100,2009
lv,99.9,100,100,99.95,100,2009
mk,98.92,99.95,99.99,99.43,99.99,2009
ml,100,99.85,100,99.93,100,2009
mr,99.5,99.9,99.99,99.7,100,2009
ms,97.48,69.24,99.69,80.97,99.98,2009
my,100,82.33,99.83,90.31,100,2009
ne,99.06,99.35,99.98,99.2,99.99,2009
nl,98.33,99.4,99.98,98.86,99.98,2009
om,100,100,100,100,100,2009
or,100,100,100,100,100,2009
pa,100,99.95,100,99.98,100,2009
pl,99.95,99.4,99.99,99.68,100,2009
pt,99.4,49.78,99.03,66.33,99.99,4018
qu,99.75,97.91,99.98,98.82,100,2009
ro,99.95,99.85,100,99.9,100,2009
ru,100,99.45,99.99,99.73,100,2009
sa,100,93.08,99.93,96.42,100,2009
sd,99.75,100,100,99.88,100,2009
si,100,100,100,100,100,2009
sk,99.85,99.15,99.99,99.5,100,2009
sl,99.9,99.4,99.99,99.65,100,2009
so,99.95,99.95,100,99.95,100,2009
sr,99.9,99.25,99.99,99.58,100,2009
su,99.75,98.81,99.99,99.27,100,2009
sv,99.95,99.65,100,99.8,100,2009
sw,99.26,99.9,99.99,99.58,99.99,2009
ta,100,100,100,100,100,2009
te,100,99.75,100,99.88,100,2009
th,100,100,100,100,100,2009
tl,99.75,100,100,99.88,100,2009
tn,99.34,96.96,99.96,98.14,99.99,2009
tr,99.85,99.45,99.99,99.65,100,2009
ug,99.95,99.95,100,99.95,100,2009
uk,99.95,99.75,100,99.85,100,2009
ur,99.95,100,100,99.98,100,2009
uz,99.95,99.75,100,99.85,100,2009
vi,100,100,100,100,100,2009
wo,99.95,99.35,99.99,99.65,100,2009
xh,89.06,92.78,99.82,90.88,99.89,2009
yi,99.85,100,100,99.93,100,2009
yo,99.95,99.15,99.99,99.55,100,2009
zh,100,100,100,100,100,6027
zu,94.39,87.95,99.83,91.06,99.95,2009
Micro,97.39,97.25,99.95,97.32,99.98,208936
Macro,98.41,97.55,99.95,97.77,99.98,208936
