language,precision,recall,accuracy,f1-score,specificity,samples
af,99.15,98.81,99.98,98.98,99.99,2009
am,100,100,100,100,100,2009
ar,100,99.92,100,99.96,100,12054
as,100,99.9,100,99.95,100,2009
az,100,99.9,100,99.95,100,2009
be,100,99.4,99.99,99.7,100,2009
bg,99.9,99.3,99.99,99.6,100,2009
bn,99.26,100,99.99,99.63,99.99,2009
bs,68.07,39.37,99.24,49.89,99.82,2009
ca,99.9,99.7,100,99.8,100,2009
cs,99.4,99.7,99.99,99.55,99.99,2009
cy,100,100,100,100,100,2009
da,99.9,96.91,99.97,98.38,100,2009
de,99.55,99.9,99.99,99.73,100,2009
el,99.95,100,100,99.98,100,2009
en,98.99,97.21,99.96,98.09,99.99,2009
eo,99.65,99.85,100,99.75,100,2009
es,98.42,96.22,99.95,97.31,99.99,2009
et,99.95,99.8,100,99.88,100,2009
eu,99.9,100,100,99.95,100,2009
fa,99.9,100,100,99.95,100,2009
fi,100,99.8,100,99.9,100,2009
fr,99.6,99.8,99.99,99.7,100,2009
ga,99.8,100,100,99.9,100,2009
gd,99.9,99.95,100,99.93,100,2009
gl,97.06,96.86,99.94,96.96,99.97,2009
gn,99.6,99.85,99.99,99.73,100,2009
gu,100,100,100,100,100,2009
ha,99.55,99.85,99.99,99.7,100,2009
he,100,99.9,100,99.95,100,2009
hi,93.1,100,99.93,96.42,99.93,2009
hr,57.2,81.28,99.24,67.15,99.41,2009
ht,99.9,99.85,100,99.88,100,2009
hu,100,99.8,100,99.9,100,2009
hy,100,100,100,100,100,2009
id,83.52,95.87,99.78,89.27,99.82,2009
ig,99.75,99.9,100,99.83,100,2009
is,99.95,99.9,100,99.93,100,2009
it,99.65,99.85,100,99.75,100,2009
ja,100,100,100,100,100,2009
jv,98.77,99.8,99.99,99.28,99.99,2009
ka,100,100,100,100,100,2009
kk,100,99.65,100,99.83,100,2009
km,97.19,100,99.97,98.58,99.97,2009
kn,100,99.95,100,99.98,100,2009
ko,99.06,100,99.99,99.53,99.99,2009
ku,99.9,99.9,100,99.9,100,2009
ky,100,99.85,100,99.93,100,2009
lg,99.65,99.3,99.99,99.48,100,2009
li,98.44,97.66,99.96,98.05,99.99,2009
ln,100,99.95,100,99.98,100,2009
lo,100,100,100,100,100,2009
lt,99.9,99.95,100,99.93,100,2009
lv,99.95,100,100,99.98,100,2009
mk,99.7,99.55,99.99,99.63,100,2009
ml,100,99.85,100,99.93,100,2009
mr,99.75,99.9,100,99.83,100,2009
ms,95.27,81.13,99.78,87.63,99.96,2009
my,100,83.97,99.85,91.29,100,2009
ne,99.6,99.65,99.99,99.63,100,2009
nl,97.92,98.56,99.97,98.24,99.98,2009
om,99.95,99.95,100,99.95,100,2009
or,100,100,100,100,100,2009
pa,100,100,100,100,100,2009
pl,99.9,99.8,100,99.85,100,2009
pt,97.71,49.83,99.01,66,99.98,4018
qu,99.9,99.05,99.99,99.48,100,2009
ro,99.9,99.9,100,99.9,100,2009
ru,99.95,99,99.99,99.47,100,2009
sa,100,96.57,99.97,98.25,100,2009
sd,99.85,100,100,99.93,100,2009
si,100,100,100,100,100,2009
sk,99.8,98.95,99.99,99.38,100,2009
sl,99.7,99.1,99.99,99.4,100,2009
so,100,99.95,100,99.98,100,2009
sr,99.95,99.45,99.99,99.7,100,2009
su,100,98.86,99.99,99.42,100,2009
sv,99.7,99.55,99.99,99.63,100,2009
sw,99.06,99.9,99.99,99.48,99.99,2009
ta,100,100,100,100,100,2009
te,100,100,100,100,100,2009
th,100,100,100,100,100,2009
tl,99.21,99.9,99.99,99.55,99.99,2009
tn,99.64,97.41,99.97,98.51,100,2009
tr,99.8,99.9,100,99.85,100,2009
ug,100,99.95,100,99.98,100,2009
uk,100,99.45,99.99,99.73,100,2009
ur,100,100,100,100,100,2009
uz,99.9,100,100,99.95,100,2009
vi,99.95,100,100,99.98,100,2009
wo,99.85,99.25,99.99,99.55,100,2009
xh,86.63,95.17,99.81,90.7,99.86,2009
yi,99.95,100,100,99.98,100,2009
yo,99.9,99.45,99.99,99.68,100,2009
zh,100,100,100,100,100,6027
zu,95.42,85.12,99.82,89.98,99.96,2009
Micro,97.47,97.33,99.95,97.4,99.98,208936
Macro,98.45,97.63,99.96,97.87,99.98,208936
