language,precision,recall,accuracy,f1-score,specificity,samples
af,100,100,100,100,100,1
ar,100,50,99.89,66.67,100,4
br,50,100,99.95,66.67,99.95,1
ca,83.33,83.33,99.89,83.33,99.95,6
cs,100,100,100,100,100,10
cy,100,100,100,100,100,4
da,100,81.82,99.89,90,100,11
de,96.97,83.12,99.19,89.51,99.89,77
el,50,100,99.95,66.67,99.95,1
en,99.53,50,53.88,66.56,97.35,1705
eo,100,100,100,100,100,1
es,96.61,63.33,98.1,76.51,99.89,90
et,50,100,99.95,66.67,99.95,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,60,99.89,75,100,5
fr,99.38,77.21,86.88,86.9,99.38,1043
gl,33.33,100,99.89,50,99.89,1
hi,75,75,99.89,75,99.95,4
hr,33.33,100,99.89,50,99.89,1
hu,83.33,83.33,99.89,83.33,99.95,6
id,81.05,97.47,98.92,88.51,98.98,79
is,100,100,100,100,100,1
it,87.5,87.5,99.46,87.5,99.72,40
ja,75,47.37,99.3,58.06,99.84,19
ko,80,28.57,99.4,42.11,99.95,14
lt,100,100,100,100,100,1
lv,83.33,100,99.95,90.91,99.95,5
mk,100,100,100,100,100,1
nl,96.15,73.53,99.46,83.33,99.94,34
no,100,100,100,100,100,6
pl,60,75,99.84,66.67,99.89,4
pt,96.05,97.33,99.73,96.69,99.83,75
ro,100,100,100,100,100,4
ru,100,66.67,99.95,80,100,3
sk,100,66.67,99.95,80,100,3
sl,100,100,100,100,100,2
sr,0,0,99.95,0,100,1
sv,83.33,90.91,99.84,86.96,99.89,11
sw,100,100,100,100,100,1
th,100,90.91,99.95,95.24,100,11
tl,55.56,83.33,99.73,66.67,99.78,6
tr,78.26,100,99.73,87.8,99.73,18
uk,100,100,100,100,100,1
ur,0,0,99.95,0,100,1
vi,100,43.75,99.51,60.87,100,16
zh,97.22,41.67,89.16,58.33,99.73,336
Micro,96.5,61.95,99.23,75.46,99.96,3667
Macro,83.5,80.8,98.31,79.2,99.86,3667
