language,precision,recall,accuracy,f1-score,specificity,samples
ca,100,100,100,100,100,4
da,100,100,100,100,100,6
de,100,100,100,100,100,18
en,100,100,100,100,100,845
eo,100,100,100,100,100,1
es,100,100,100,100,100,54
eu,100,100,100,100,100,1
fr,100,100,100,100,100,478
hi,100,100,100,100,100,3
hr,100,100,100,100,100,1
id,100,100,100,100,100,56
it,100,100,100,100,100,7
ms,100,100,100,100,100,12
nl,100,100,100,100,100,23
no,100,100,100,100,100,3
pt,100,100,100,100,100,35
sl,100,100,100,100,100,1
sv,100,100,100,100,100,4
th,100,100,100,100,100,4
tl,100,100,100,100,100,4
tr,100,100,100,100,100,1
zh,100,100,100,100,100,48
Micro,100,100,100,100,100,1609
Macro,100,100,100,100,100,1609
