language,precision,recall,accuracy,f1-score,specificity,samples
af,100,100,100,100,100,1
ar,100,100,100,100,100,2
br,100,100,100,100,100,1
ca,100,100,100,100,100,5
cs,100,100,100,100,100,10
cy,100,100,100,100,100,4
da,100,100,100,100,100,9
de,100,100,100,100,100,54
el,100,100,100,100,100,1
en,100,100,100,100,100,9
eo,100,100,100,100,100,1
es,100,100,100,100,100,54
et,100,100,100,100,100,1
eu,100,100,100,100,100,1
fa,100,100,100,100,100,1
fi,100,100,100,100,100,5
fr,100,100,100,100,100,867
gl,100,100,100,100,100,1
hi,100,100,100,100,100,4
hr,100,100,100,100,100,1
hu,100,100,100,100,100,4
id,100,100,100,100,100,61
is,100,100,100,100,100,1
it,100,100,100,100,100,33
ja,100,100,100,100,100,10
ko,100,100,100,100,100,11
lt,100,100,100,100,100,1
lv,100,100,100,100,100,5
ms,100,100,100,100,100,13
nl,100,100,100,100,100,25
no,100,100,100,100,100,6
pl,100,100,100,100,100,4
pt,100,100,100,100,100,55
ro,100,100,100,100,100,4
ru,100,100,100,100,100,1
sk,100,100,100,100,100,2
sl,100,100,100,100,100,2
sv,100,100,100,100,100,10
sw,100,100,100,100,100,1
th,100,100,100,100,100,10
tl,100,100,100,100,100,5
tr,100,100,100,100,100,16
uk,100,100,100,100,100,1
vi,100,100,100,100,100,11
zh,100,100,100,100,100,275
Micro,100,100,100,100,100,1599
Macro,100,100,100,100,100,1599
