language,precision,recall,accuracy,f1-score,specificity,samples
ar,100,100,100,100,100,1
br,100,100,100,100,100,1
ca,100,100,100,100,100,5
cs,100,100,100,100,100,9
cy,100,100,100,100,100,4
da,100,100,100,100,100,8
de,100,100,100,100,100,47
el,100,100,100,100,100,1
en,100,100,100,100,100,649
eo,100,100,100,100,100,1
es,100,100,100,100,100,44
et,100,100,100,100,100,1
eu,100,100,100,100,100,1
fi,100,100,100,100,100,3
fr,100,100,100,100,100,685
gl,100,100,100,100,100,1
hi,100,100,100,100,100,3
hr,100,100,100,100,100,1
hu,100,100,100,100,100,4
id,100,100,100,100,100,31
it,100,100,100,100,100,28
ja,100,100,100,100,100,6
ko,100,100,100,100,100,4
lt,100,100,100,100,100,1
lv,100,100,100,100,100,5
mk,100,100,100,100,100,1
ms,100,100,100,100,100,11
nl,100,100,100,100,100,20
no,100,100,100,100,100,6
pl,100,100,100,100,100,3
pt,100,100,100,100,100,61
ro,100,100,100,100,100,4
ru,100,100,100,100,100,1
sk,100,100,100,100,100,2
sl,100,100,100,100,100,2
sv,100,100,100,100,100,9
sw,100,100,100,100,100,1
th,100,100,100,100,100,8
tl,100,100,100,100,100,5
tr,100,100,100,100,100,18
uk,100,100,100,100,100,1
vi,100,100,100,100,100,5
zh,100,100,100,100,100,91
Micro,100,100,100,100,100,1793
Macro,100,100,100,100,100,1793
