language,precision,recall,accuracy,f1-score,specificity,samples
af,99.66,99.86,99.99,99.76,99.99,10000
am,99.79,87.71,99.99,93.36,100,537
ar,85.11,99.75,99.74,91.85,99.74,10000
as,16.33,88.95,99.87,27.59,99.88,181
az,99.84,18.51,98.79,31.23,100,10000
be,99.83,98.59,99.98,99.21,100,10000
bg,99.91,99.75,99.99,99.83,100,10000
bn,99.12,79.57,99.69,88.27,99.99,10000
br,98.72,100,100,99.35,100,2305
ca,99.86,99.73,99.99,99.79,100,10000
cs,99.84,99.57,99.99,99.7,100,10000
cy,99.61,99.95,99.99,99.78,99.99,10000
da,99.34,99.74,99.99,99.54,99.99,10000
de,99.16,99.85,99.99,99.5,99.99,10000
el,100,99.51,99.99,99.75,100,10000
en,70.04,99.85,99.37,82.33,99.36,10000
eo,99.7,99.93,99.99,99.82,100,10000
es,99.53,99.51,99.99,99.52,99.99,10000
et,99.98,99.92,100,99.95,100,10000
eu,99.93,99.18,99.99,99.55,100,10000
fa,58.71,98.82,98.95,73.66,98.96,10000
fi,99.94,99.97,100,99.96,100,10000
fr,99.6,99.81,99.99,99.71,99.99,10000
ga,99.74,99.96,100,99.85,100,2696
gd,99.66,100,100,99.83,100,2620
gl,99.74,99.12,99.98,99.43,100,10000
gu,100,100,100,100,100,10000
he,100,99.93,100,99.96,100,10000
hi,95.91,99.59,99.93,97.71,99.94,10000
hr,51.31,99.73,98.6,67.76,98.58,10000
hu,99.97,99.88,100,99.92,100,10000
hy,100,99.55,100,99.77,100,1775
id,99.89,99.66,99.99,99.77,100,10000
ig,97.29,100,100,98.63,100,359
is,99.84,99.96,100,99.9,100,10000
it,99.71,99.82,99.99,99.77,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,68.24,99.53,81.12,100,10000
kk,100,94.74,99.92,97.3,100,10000
km,95.97,98.95,99.92,97.43,99.94,10000
kn,100,91.92,99.93,95.79,100,6073
ko,65.41,99.95,99.22,79.07,99.21,10000
ku,99.85,19.85,98.81,33.12,100,10000
lt,99.98,99.73,100,99.85,100,10000
lv,100,99.94,100,99.97,100,10000
mk,99.98,99.66,99.99,99.82,100,10000
ml,99.15,94.03,99.9,96.52,99.99,10000
mn,100,46.22,99.24,63.22,100,9565
mr,98.23,71.5,99.96,82.76,100,1007
my,100,75.91,99.64,86.31,100,10000
ne,99.96,99.69,99.99,99.82,100,10000
nl,99.9,99.73,99.99,99.81,100,10000
no,99.75,99.36,99.99,99.55,100,10000
or,100,97.3,100,98.63,100,185
pl,99.95,99.92,100,99.93,100,10000
ps,14.99,100,99.54,26.08,99.54,547
pt,99.59,99.63,99.99,99.61,99.99,10000
ro,99.91,99.9,100,99.9,100,10000
ru,99.85,98.69,99.98,99.27,100,10000
sd,95.03,99.95,99.94,97.43,99.94,7666
si,100,99.99,100,99.99,100,10000
sk,99.82,99.7,99.99,99.76,100,10000
sl,99.4,99.36,99.98,99.38,99.99,10000
so,71.19,21.65,99.97,33.2,100,194
sq,99.89,99.2,99.99,99.54,100,10000
sr,99.2,4.98,98.59,9.48,100,10000
sv,99.81,99.87,100,99.84,100,10000
sw,99.92,98.66,99.98,99.29,100,10000
ta,100,85.73,99.79,92.32,100,10000
te,100,93.34,99.9,96.56,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.83,92.46,99.89,96,100,10000
tr,99.69,99.8,99.99,99.75,100,10000
uk,99.99,98.84,99.98,99.41,100,10000
ur,91.18,99.92,99.86,95.35,99.85,10000
uz,80.49,100,100,89.19,100,66
vi,99.81,99.88,100,99.85,100,10000
xh,100,100,100,100,100,10000
zh,98.46,98.88,99.96,98.67,99.98,10000
Micro,94.27,93.27,99.88,93.77,99.94,675776
Macro,94.59,92.55,99.85,90.95,99.93,675776
