language,precision,recall,accuracy,f1-score,specificity,samples
af,99.67,99.88,99.99,99.78,99.99,10000
am,99.79,88.64,99.99,93.89,100,537
ar,96.29,99.9,99.94,98.06,99.94,10000
as,14.32,92.82,99.84,24.82,99.84,181
az,99.79,18.62,98.69,31.38,100,10000
be,99.93,99.27,99.99,99.6,100,10000
bg,99.78,99.9,99.99,99.84,100,10000
bn,98.35,84.83,99.73,91.09,99.98,10000
ca,99.86,99.68,99.99,99.77,100,10000
cs,99.63,99.85,99.99,99.74,99.99,10000
cy,99.79,99.95,100,99.87,100,10000
da,99.08,99.78,99.98,99.43,99.98,10000
de,99.42,99.78,99.99,99.6,99.99,10000
el,99.97,99.57,99.99,99.77,100,10000
en,71.95,99.95,99.37,83.67,99.36,10000
es,99.61,99.35,99.98,99.48,99.99,10000
et,99.93,99.97,100,99.95,100,10000
fa,70.81,98.85,99.33,82.52,99.33,10000
fi,99.88,99.98,100,99.93,100,10000
fr,99.8,99.76,99.99,99.78,100,10000
ga,99.85,99.96,100,99.91,100,2696
gl,99.66,99.13,99.98,99.39,99.99,10000
gu,100,99.99,100,99.99,100,10000
he,100,100,100,100,100,10000
hi,97.97,99.58,99.96,98.77,99.97,10000
hr,51.31,99.89,98.47,67.79,98.45,10000
hu,99.87,99.92,100,99.9,100,10000
hy,100,99.55,100,99.77,100,1775
id,99.9,99.66,99.99,99.78,100,10000
ig,97.55,100,100,98.76,100,359
is,99.77,99.94,100,99.86,100,10000
it,99.83,99.89,100,99.86,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,82.58,99.72,90.46,100,10000
kk,99.99,95.85,99.93,97.88,100,10000
km,98.33,98.95,99.96,98.64,99.97,10000
kn,99.86,94.42,99.94,97.06,100,6073
ko,65.74,99.95,99.16,79.32,99.15,10000
lb,90.44,100,99.99,94.98,99.99,577
lt,100,99.88,100,99.94,100,10000
lv,99.96,99.98,100,99.97,100,10000
mk,99.99,99.73,100,99.86,100,10000
ml,99.12,96.29,99.93,97.69,99.99,10000
mn,99.98,46.34,99.17,63.32,100,9565
mr,97.74,77.16,99.96,86.24,100,1007
my,100,83.08,99.73,90.76,100,10000
ne,99.84,99.86,100,99.85,100,10000
nl,99.83,99.78,99.99,99.8,100,10000
no,99.83,99.26,99.99,99.54,100,10000
or,100,98.92,100,99.46,100,185
pl,99.95,99.98,100,99.97,100,10000
ps,19.43,100,99.64,32.54,99.63,547
pt,99.49,99.51,99.98,99.5,99.99,10000
ro,99.93,99.92,100,99.92,100,10000
ru,99.94,99.22,99.99,99.58,100,10000
sd,97.9,99.96,99.97,98.92,99.97,7666
sk,99.87,99.59,99.99,99.73,100,10000
sl,99.67,99.72,99.99,99.7,99.99,10000
so,26.92,3.61,99.97,6.36,100,194
sr,99.6,4.99,98.47,9.5,100,10000
sv,99.86,99.89,100,99.88,100,10000
sw,99.91,98.7,99.98,99.3,100,10000
ta,100,87.27,99.8,93.2,100,10000
te,100,94.2,99.91,97.01,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.93,91.8,99.87,95.69,100,10000
tr,99.65,99.91,99.99,99.78,99.99,10000
uk,99.99,99.66,99.99,99.82,100,10000
ur,90.67,99.95,99.83,95.09,99.83,10000
uz,86.84,100,100,92.96,100,66
vi,99.94,99.87,100,99.9,100,10000
xh,100,100,100,100,100,10000
zh,98.47,98.82,99.96,98.64,99.97,10000
Micro,95.13,94.6,99.89,94.86,99.95,621428
Macro,94,93.5,99.86,91.47,99.93,621428
