language,precision,recall,accuracy,f1-score,specificity,samples
af,99.76,99.88,99.99,99.82,100,10000
am,100,87.9,99.99,93.56,100,537
ar,88.32,99.83,99.8,93.72,99.8,10000
bg,99.89,99.84,100,99.86,100,10000
bn,99.46,90.4,99.85,94.71,99.99,10000
bs,24.82,3.37,98.39,5.93,99.84,10000
ca,99.88,99.77,99.99,99.82,100,10000
cs,99.83,99.76,99.99,99.79,100,10000
cy,99.71,99.95,99.99,99.83,100,10000
da,99.2,99.84,99.99,99.52,99.99,10000
de,99.24,99.81,99.99,99.53,99.99,10000
el,100,99.54,99.99,99.77,100,10000
en,70.37,99.88,99.36,82.57,99.36,10000
eo,99.73,99.94,100,99.84,100,10000
es,99.54,99.41,99.98,99.47,99.99,10000
et,99.96,99.95,100,99.95,100,10000
eu,99.97,99.18,99.99,99.57,100,10000
fa,70.54,98.84,99.36,82.33,99.37,10000
fi,99.95,99.97,100,99.96,100,10000
fr,99.67,99.85,99.99,99.76,99.99,10000
ga,99.93,99.96,100,99.94,100,2696
gd,99.73,100,100,99.87,100,2620
gl,99.71,99.08,99.98,99.39,100,10000
gu,100,100,100,100,100,10000
hi,95.93,99.64,99.93,97.75,99.94,10000
hr,34.67,97.2,97.2,51.11,97.2,10000
hu,99.95,99.88,100,99.91,100,10000
hy,100,99.55,100,99.77,100,1775
id,71.43,93.36,99.34,80.93,99.43,10000
ig,96.25,100,100,98.09,100,359
is,99.89,99.95,100,99.92,100,10000
it,99.87,99.75,99.99,99.81,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,78.82,99.68,88.16,100,10000
kk,100,95.53,99.93,97.71,100,10000
km,98.15,98.95,99.96,98.55,99.97,10000
kn,100,93.18,99.94,96.47,100,6073
ko,65.64,99.95,99.21,79.24,99.2,10000
ku,99.95,19.82,98.79,33.08,100,10000
lb,97.63,100,100,98.8,100,577
lt,99.97,99.78,100,99.87,100,10000
lv,99.98,99.92,100,99.95,100,10000
mk,99.99,99.76,100,99.87,100,10000
ml,99.14,95.29,99.92,97.18,99.99,10000
mn,99.98,46.36,99.23,63.34,100,9565
mr,97.9,74.08,99.96,84.34,100,1007
ms,90.63,62.28,99.33,73.83,99.9,10000
my,100,80.04,99.7,88.91,100,10000
ne,99.94,99.77,100,99.85,100,10000
nl,99.89,99.7,99.99,99.79,100,10000
no,99.74,99.13,99.98,99.43,100,10000
pl,99.96,99.97,100,99.97,100,10000
ps,27.75,100,99.79,43.45,99.79,547
pt,99.52,99.61,99.99,99.57,99.99,10000
ro,99.96,99.9,100,99.93,100,10000
ru,99.85,98.95,99.98,99.4,100,10000
sd,98.51,99.95,99.98,99.22,99.98,7666
si,100,99.99,100,99.99,100,10000
sk,99.86,99.67,99.99,99.76,100,10000
sl,99.33,99.63,99.98,99.48,99.99,10000
so,53.49,11.86,99.97,19.41,100,194
sq,99.83,99.61,99.99,99.72,100,10000
sr,99.8,5.01,98.57,9.54,100,10000
sv,99.79,99.86,99.99,99.83,100,10000
sw,99.9,98.72,99.98,99.31,100,10000
ta,100,86.38,99.79,92.69,100,10000
te,100,93.76,99.91,96.78,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.87,91.87,99.88,95.7,100,10000
tr,99.94,99.91,100,99.92,100,10000
uk,99.99,99.38,99.99,99.68,100,10000
ur,95.51,99.95,99.93,97.68,99.93,10000
uz,88,100,100,93.62,100,66
vi,99.85,99.88,100,99.87,100,10000
xh,99.99,100,100,100,100,10000
zh,98.46,98.79,99.96,98.62,99.98,10000
Micro,93.43,92.71,99.86,93.07,99.93,663682
Macro,94.14,91.97,99.82,91.01,99.91,663682
