language,precision,recall,accuracy,f1-score,specificity,samples
af,99.71,99.82,99.99,99.77,100,10000
am,100,88.64,99.99,93.98,100,537
ar,99.96,99.88,100,99.92,100,10000
as,14.14,92.82,99.85,24.54,99.85,181
az,99.89,18.56,98.79,31.3,100,10000
be,99.9,99.19,99.99,99.54,100,10000
bg,99.85,99.85,100,99.85,100,10000
bn,99.44,84.54,99.76,91.38,99.99,10000
br,99.23,100,100,99.61,100,2305
ca,99.92,99.62,99.99,99.77,100,10000
cs,99.41,99.79,99.99,99.6,99.99,10000
cy,99.88,99.94,100,99.91,100,10000
da,98.56,99.71,99.97,99.13,99.98,10000
de,99.83,92.58,99.89,96.07,100,10000
el,99.97,99.57,99.99,99.77,100,10000
en,69.96,99.74,99.36,82.24,99.36,10000
eo,99.83,99.85,100,99.84,100,10000
es,99.53,95.31,99.92,97.37,99.99,10000
et,99.93,99.96,100,99.95,100,10000
eu,99.9,99.18,99.99,99.54,100,10000
fa,99.75,98.67,99.98,99.21,100,10000
fi,99.91,99.98,100,99.95,100,10000
fr,99.72,99.57,99.99,99.64,100,10000
ga,99.93,99.93,100,99.93,100,2696
gd,99.89,100,100,99.94,100,2620
gl,99.22,98.08,99.96,98.65,99.99,10000
gu,100,99.99,100,99.99,100,10000
he,100,99.97,100,99.98,100,10000
hi,99.13,94.32,99.9,96.66,99.99,10000
hr,51.29,99.88,98.6,67.78,98.58,10000
hu,99.95,99.91,100,99.93,100,10000
hy,100,99.55,100,99.77,100,1775
id,72.4,92.53,99.37,81.23,99.47,10000
is,99.86,99.95,100,99.91,100,10000
it,99.93,80.22,99.71,88.99,100,10000
ja,100,99.87,100,99.93,100,10000
ka,100,71.59,99.58,83.44,100,10000
kk,99.99,95.75,99.94,97.82,100,10000
km,97.3,98.95,99.94,98.12,99.96,10000
kn,100,94.42,99.95,97.13,100,6073
ko,65.09,99.95,99.21,78.84,99.2,10000
ku,99.95,19.69,98.81,32.9,100,10000
lb,93.06,100,99.99,96.41,99.99,577
lt,99.99,99.88,100,99.93,100,10000
lv,99.96,99.95,100,99.95,100,10000
mk,99.97,99.62,99.99,99.79,100,10000
ml,99.13,96.34,99.93,97.71,99.99,10000
mn,100,46.26,99.24,63.26,100,9565
mr,99.71,34.66,99.9,51.44,100,1007
ms,89.97,64.37,99.37,75.05,99.89,10000
my,100,83,99.75,90.71,100,10000
ne,99.99,99.83,100,99.91,100,10000
nl,99.95,99.37,99.99,99.66,100,10000
no,99.88,96.61,99.95,98.22,100,10000
or,100,98.92,100,99.46,100,185
pl,99.95,99.93,100,99.94,100,10000
ps,97.68,100,100,98.83,100,547
pt,99.11,99.05,99.97,99.08,99.99,10000
ro,99.97,99.92,100,99.94,100,10000
ru,99.96,95,99.93,97.42,100,10000
sd,99.87,99.95,100,99.91,100,7666
si,100,99.99,100,99.99,100,10000
sk,99.91,99.6,99.99,99.75,100,10000
sl,99.62,99.65,99.99,99.64,99.99,10000
so,0,0,99.97,0,100,194
sq,99.95,99.29,99.99,99.62,100,10000
sr,98.81,4.98,98.59,9.48,100,10000
sv,99.88,99.83,100,99.85,100,10000
sw,99.93,98.8,99.98,99.36,100,10000
ta,100,87.34,99.81,93.24,100,10000
te,100,94.2,99.91,97.01,100,10000
th,100,99.41,99.99,99.7,100,10000
tl,99.92,90.43,99.86,94.94,100,10000
tr,99.74,99.88,99.99,99.81,100,10000
uk,99.98,99.04,99.99,99.51,100,10000
ur,99.98,99.62,99.99,99.8,100,10000
uz,88,100,100,93.62,100,66
vi,99.91,99.87,100,99.89,100,10000
zh,98.46,98.78,99.96,98.62,99.98,10000
Micro,92.69,92.24,99.91,92.46,99.95,675994
Macro,95.25,91.07,99.85,90.93,99.95,675994
