language,precision,recall,accuracy,f1-score,specificity,samples
af,17.32,90.79,99.82,29.09,99.82,4407
am,84.69,87.7,100,86.17,100,309
ar,99.9,90.4,99.94,94.91,100,68392
as,98.43,92.04,99.99,95.13,100,14681
az,27.65,87.11,99.8,41.97,99.81,9002
be,88.87,79.51,99.96,83.93,99.99,14276
bg,75.67,84.31,99.9,79.76,99.94,25367
bn,62.14,97.34,99.91,75.86,99.91,15806
br,38.23,90.24,99.88,53.71,99.89,7999
ca,47.73,91.64,99.9,62.77,99.91,9969
cs,94.64,93.38,99.91,94.01,99.96,84123
cy,60.92,94.32,99.99,74.03,99.99,1777
da,95.96,84.92,99.89,90.1,99.98,65861
de,99.74,98.75,99.9,99.25,99.98,727114
el,99.99,98.89,100,99.44,100,40218
en,96.96,99.34,99.3,98.13,99.29,1986627
eo,99.13,96.96,99.71,98.03,99.93,793577
es,97.87,89.16,99.5,93.31,99.92,415801
et,83.96,92.53,99.99,88.03,99.99,6115
eu,67.94,97.36,99.97,80.03,99.97,6326
fa,98.57,98.73,99.99,98.65,100,31457
fi,98.74,94.4,99.9,96.52,99.98,151584
fr,99.48,96.17,99.73,97.8,99.97,673450
fy,22.03,85.65,99.98,35.04,99.98,711
ga,72.43,95.12,99.99,82.24,99.99,2972
gd,63.02,97.71,99.99,76.62,99.99,1050
gl,18.97,81.21,99.76,30.76,99.77,7085
gn,52.6,87.67,99.97,65.75,99.98,3367
gu,71.3,97.62,100,82.41,100,168
ha,93.61,97.13,99.98,95.34,99.99,21821
he,99.95,97.72,99.95,98.82,100,209347
hi,71.92,98.34,99.94,83.08,99.94,15624
hr,18.55,90.71,99.77,30.8,99.78,6006
ht,2.32,93.2,99.96,4.53,99.96,103
hu,99.76,94.56,99.78,97.09,99.99,421697
hy,99.97,97.32,99.99,98.63,100,29696
id,94.81,96.81,99.98,95.8,99.99,25952
ig,1.52,76.09,99.98,2.97,99.98,46
is,90.62,98.58,99.99,94.43,99.99,13390
it,99.59,93.42,99.39,96.41,99.96,935157
ja,99.99,99.96,100,99.98,100,246319
jv,19.07,59.09,99.96,28.84,99.97,1430
ka,99.98,94.01,100,96.9,100,7074
kk,97.04,82.23,99.99,89.03,100,4385
km,2.41,99.47,99.08,4.71,99.08,2461
kn,90.06,96.45,100,93.15,100,310
ko,11.91,98.17,99.01,21.24,99.02,14509
ku,87.05,89.99,99.98,88.5,99.99,10281
ky,47.27,77.43,99.99,58.7,100,536
lg,13.11,82,99.99,22.6,99.99,250
li,0.59,55.32,99.96,1.17,99.96,47
ln,78.96,98.54,99.99,87.67,99.99,4781
lo,99.57,100,100,99.78,100,229
lt,98.88,94.93,99.92,96.87,99.99,131515
lv,86,95.91,99.98,90.69,99.98,12480
mg,4.61,97.26,99.99,8.8,99.99,73
mk,95.89,74.81,99.79,84.05,99.98,78244
ml,100,98.06,100,99.02,100,878
mn,92.07,95.2,100,93.61,100,2792
mr,99.92,96.99,99.98,98.43,100,77592
my,100,64.21,100,78.21,100,584
ne,98.08,92.11,100,95,100,4500
nl,99.39,92.47,99.85,95.81,99.99,193399
om,1.81,100,99.99,3.55,99.99,10
or,89.91,70.72,100,79.17,100,403
pa,100,97.26,100,98.61,100,219
pl,99.41,95.51,99.94,97.42,99.99,132808
ps,10.72,97.87,100,19.33,100,47
pt,96.9,94.98,99.67,95.93,99.87,437510
qu,14.89,65.75,99.98,24.28,99.98,435
rm,0.37,88.46,99.94,0.73,99.94,26
ro,87.91,96.77,99.94,92.13,99.95,37205
ru,99.73,86.92,98.58,92.88,99.97,1140746
sa,74.71,76.51,100,75.6,100,166
sd,0.54,83.33,99.99,1.08,99.99,6
si,100,100,100,100,100,75
sk,87.81,82.12,99.93,84.87,99.97,27240
sl,43.41,73.76,99.96,54.65,99.97,3388
so,26.62,91.93,100,41.28,100,161
sq,63.52,95.71,99.99,76.36,99.99,2633
sr,90.63,41.87,99.7,57.28,99.98,50762
su,1.87,77.5,99.98,3.66,99.98,40
sv,95.22,96.36,99.96,95.79,99.97,56297
sw,74.81,95.67,99.98,83.96,99.99,4529
ta,100,96.79,100,98.37,100,561
te,100,98.41,100,99.2,100,314
th,100,99.97,100,99.99,100,6827
tl,96.06,97.26,99.95,96.66,99.97,76772
tn,3.54,85.37,99.99,6.8,99.99,41
tr,99.85,93.46,99.54,96.55,99.99,739792
ug,94.86,96.02,99.99,95.44,100,7971
uk,98.72,78.4,99.6,87.39,99.98,187391
ur,93.48,98.66,100,96,100,2687
uz,36.07,74.72,99.98,48.66,99.99,1163
vi,96.47,99.83,99.99,98.12,99.99,27253
wo,4.19,79.44,99.98,7.96,99.98,107
xh,31.79,87.6,100,46.65,100,258
yi,90.03,98.99,99.97,94.3,99.97,24553
yo,16.41,92.17,99.99,27.86,99.99,115
zh,99.9,99.97,100,99.93,100,98286
Micro,94.84,94.29,99.89,94.56,99.95,10711896
Macro,69.52,90.26,99.89,71.93,99.95,10711896
