language,precision,recall,accuracy,f1-score,specificity,samples
af,15.19,92.31,99.78,26.09,99.78,4407
am,91.79,83.17,100,87.27,100,309
ar,99.82,88.06,99.92,93.58,100,68392
bg,72.59,80.33,99.88,76.27,99.93,25367
bn,72.99,97.72,99.94,83.57,99.95,15806
bs,1.13,10.92,99.83,2.05,99.84,1740
ca,43.88,91.1,99.88,59.23,99.89,9969
ceb,22.07,84.75,99.95,35.03,99.95,1705
co,0.05,78.57,99.61,0.11,99.61,28
cs,94.64,90.81,99.89,92.68,99.96,84123
cy,35.63,94.54,99.97,51.76,99.97,1777
da,96.32,84.82,99.88,90.21,99.98,65861
de,99.68,98.2,99.85,98.94,99.98,727114
el,99.99,98.25,99.99,99.11,100,40218
en,96.21,99.39,99.14,97.77,99.09,1986627
eo,99.05,96.24,99.65,97.62,99.92,793577
es,97.89,89.29,99.5,93.39,99.92,415801
et,81.03,90.2,99.98,85.37,99.99,6115
eu,64.83,96.55,99.97,77.57,99.97,6326
fa,98.29,98.64,99.99,98.47,99.99,31457
fi,98.31,92.04,99.86,95.07,99.98,151584
fr,99.34,96.73,99.75,98.02,99.96,673450
fy,18.3,85.65,99.97,30.16,99.97,711
ga,68.16,94.92,99.99,79.34,99.99,2972
gd,48.6,97.33,99.99,64.83,99.99,1050
gl,19.94,80.25,99.77,31.94,99.78,7085
gu,86.17,96.43,100,91.01,100,168
ha,87.94,97.58,99.97,92.51,99.97,21821
haw,7.04,98.13,99.98,13.13,99.98,160
hi,67.24,98.12,99.93,79.8,99.93,15624
hr,19.44,79.19,99.8,31.21,99.81,6006
ht,1.83,94.17,99.95,3.58,99.95,103
hu,99.73,92.47,99.69,95.96,99.99,421697
hy,99.88,95.94,99.99,97.87,100,29696
id,83.79,83.96,99.92,83.87,99.96,25952
ig,1.23,82.61,99.97,2.43,99.97,46
is,88.34,98.02,99.98,92.93,99.98,13390
it,99.51,88.46,98.93,93.66,99.96,935157
ja,99.99,99.96,100,99.98,100,246319
jv,19.41,58.88,99.96,29.2,99.97,1430
ka,100,91.63,99.99,95.63,100,7074
kk,95.45,77.92,99.99,85.8,100,4385
km,1.92,99.47,98.81,3.78,98.81,2461
kn,91.51,93.87,100,92.68,100,310
ko,9.12,98.17,98.65,16.69,98.65,14509
ku,80.94,89.94,99.97,85.2,99.98,10281
ky,20.8,72.39,99.98,32.32,99.99,536
la,82.47,83.15,99.83,82.81,99.91,52513
lb,14.34,95.5,99.94,24.94,99.94,1023
lo,99.57,100,100,99.78,100,229
lt,98.89,92.96,99.9,95.83,99.99,131515
lv,83.4,93.89,99.97,88.33,99.98,12480
mg,3.7,97.26,99.98,7.12,99.98,73
mi,7.4,98.54,99.95,13.77,99.95,410
mk,94.81,72.11,99.76,81.92,99.97,78244
ml,100,97.49,100,98.73,100,878
mn,91.8,94.59,100,93.17,100,2792
mr,99.94,96.04,99.97,97.95,100,77592
ms,48.82,57.32,99.93,52.73,99.96,7550
mt,14.96,87.12,99.97,25.54,99.97,691
my,100,61.3,100,76.01,100,584
ne,97.34,90.27,99.99,93.67,100,4500
nl,99.2,93.28,99.86,96.15,99.99,193399
ny,2.57,72,99.99,4.96,99.99,25
pa,100,97.26,100,98.61,100,219
pl,99.32,93.14,99.91,96.13,99.99,132808
ps,8.63,97.87,100,15.86,100,47
pt,97.16,94.6,99.66,95.86,99.88,437510
ro,85.82,95.32,99.93,90.32,99.94,37205
ru,99.65,82.12,98.03,90.04,99.97,1140746
sd,0.36,83.33,99.99,0.72,99.99,6
si,100,100,100,100,100,75
sk,85.53,78.3,99.91,81.75,99.97,27240
sl,53.02,67.89,99.97,59.54,99.98,3388
sm,2.6,88.46,99.98,5.05,99.98,78
sn,1.21,59.57,99.98,2.38,99.98,47
so,22.4,95.03,99.99,36.26,99.99,161
sq,59.39,95.02,99.98,73.09,99.98,2633
sr,88.44,39.07,99.68,54.19,99.98,50762
st,0.11,100,99.98,0.23,99.98,2
su,1.64,77.5,99.98,3.22,99.98,40
sv,95.38,95.77,99.95,95.58,99.98,56297
sw,66.39,95.65,99.98,78.38,99.98,4529
ta,100,94.12,100,96.97,100,561
te,100,98.09,100,99.04,100,314
tg,7.08,86.96,99.99,13.1,99.99,69
th,100,99.97,100,99.99,100,6827
tl,95.81,92.41,99.92,94.08,99.97,76772
tr,99.88,93.02,99.5,96.33,99.99,739792
uk,98.62,73.42,99.51,84.17,99.98,187391
ur,91.07,98.66,100,94.71,100,2687
uz,21.71,72.66,99.97,33.43,99.97,1163
vi,97.57,99.83,99.99,98.69,99.99,27253
xh,45,76.74,100,56.73,100,258
yi,100,99.25,100,99.62,100,24553
yo,12.2,92.17,99.99,21.54,99.99,115
zh,99.9,99.97,100,99.93,100,98286
zu,17.89,57.95,100,27.35,100,88
Micro,93.41,92.66,99.86,93.03,99.93,10505116
Macro,64.18,88.08,99.86,66.23,99.93,10505116
