language,precision,recall,accuracy,f1-score,specificity,samples
af,13.86,88.2,99.77,23.96,99.78,4407
am,80.9,87.7,100,84.16,100,309
ar,99.76,90.52,99.94,94.92,100,68392
as,98.39,92.05,99.99,95.12,100,14681
ast,2.26,59.11,99.81,4.35,99.81,812
av,75.46,70.66,100,72.99,100,692
az,25.16,86.7,99.78,39.01,99.79,9002
ba,29.3,79.27,99.99,42.78,99.99,357
bar,1.35,76.8,99.87,2.65,99.87,250
bcl,0.26,80,99.96,0.52,99.96,15
be,78.24,76.94,99.94,77.59,99.97,14276
bg,77.27,77.87,99.9,77.57,99.95,25367
bn,52.08,97.32,99.87,67.85,99.87,15806
bo,1.98,100,99.98,3.89,99.98,42
br,21.8,88.84,99.76,35.01,99.77,7999
ca,33.65,87.59,99.83,48.62,99.84,9969
ce,13.18,80.95,100,22.67,100,42
ceb,24.84,79.3,99.96,37.83,99.96,1705
ckb,99.59,95.59,99.99,97.55,100,12600
co,0.06,67.86,99.72,0.12,99.72,28
cs,91.92,92.93,99.88,92.42,99.94,84123
cv,68.54,71.63,99.99,70.05,99.99,1706
cy,43.02,93.42,99.98,58.91,99.98,1777
da,92.94,83.75,99.86,88.11,99.96,65861
de,99.68,86.65,99.09,92.71,99.98,727114
diq,0.18,71.43,99.97,0.35,99.97,7
dsb,29.26,83.73,99.97,43.36,99.97,1555
dv,100,95,100,97.44,100,40
el,99.96,98.88,100,99.42,100,40218
en,93.83,99.07,98.65,96.38,98.55,1986627
eo,98.51,93.86,99.45,96.13,99.89,793577
es,97.62,79.42,99.14,87.59,99.92,415801
et,74.39,91.04,99.98,81.87,99.98,6115
eu,62.14,97.04,99.96,75.77,99.97,6326
fa,98.43,98.32,99.99,98.37,100,31457
fi,98.6,92.49,99.88,95.44,99.98,151584
fr,99.66,91.65,99.47,95.49,99.98,673450
frr,37.13,87.35,99.95,52.11,99.96,3083
fy,23.55,83.4,99.98,36.73,99.98,711
ga,76.24,94.04,99.99,84.21,99.99,2972
gd,60.33,97.05,99.99,74.41,99.99,1050
gl,19.51,75.34,99.78,30.99,99.8,7085
gn,53.71,88.12,99.97,66.74,99.98,3367
gom,0.26,40,99.99,0.51,99.99,10
gu,73.21,97.62,100,83.67,100,168
gv,2.23,94.74,99.99,4.36,99.99,38
he,99.95,96.96,99.94,98.43,100,209347
hi,85.14,97.32,99.97,90.82,99.98,15624
hif,0.7,35.29,99.98,1.37,99.98,34
hr,19.57,89.76,99.79,32.13,99.8,6006
hsb,52.46,76.83,99.99,62.35,99.99,1554
ht,2.56,89.32,99.97,4.97,99.97,103
hu,99.78,93.73,99.75,96.66,99.99,421697
hy,99.99,97.32,99.99,98.64,100,29696
ia,60.84,80.63,99.75,69.35,99.81,39060
id,83.44,83.32,99.92,83.38,99.96,25952
ilo,55.19,88.15,99.98,67.89,99.98,2465
io,32.67,85.24,99.77,47.24,99.79,13164
is,94.17,98.26,99.99,96.17,99.99,13390
it,99.66,67.42,97.19,80.43,99.98,935157
