language,precision,recall,accuracy,f1-score,specificity,samples
af,99.63,99.02,99.99,99.32,100,813
am,100,98.98,100,99.49,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,100,100,100,100,100,636
az,100,99.13,99.99,99.56,100,805
be,99.77,92.68,99.91,96.09,100,929
bg,100,97.36,99.97,98.66,100,872
bn,99.19,100,99.99,99.59,99.99,612
br,99.52,99.52,99.99,99.52,99.99,825
ca,99.07,97.93,99.97,98.5,99.99,869
cs,99.33,99.1,99.98,99.22,99.99,893
cy,99.6,99.87,99.99,99.74,100,756
da,99.65,98.49,99.98,99.07,100,863
de,96.57,99.04,99.94,97.79,99.96,939
el,100,99.89,100,99.94,100,882
en,95.87,98.86,99.81,97.34,99.84,2631
eo,92.93,99.88,99.91,96.28,99.91,855
es,93.89,96.48,99.88,95.17,99.92,908
et,100,98.63,99.99,99.31,100,805
eu,99.79,99.79,99.99,99.79,100,947
fa,100,100,100,100,100,11
fi,100,99.52,99.99,99.76,100,835
fr,98.28,98.51,99.95,98.4,99.97,1278
fy,99.88,99.15,99.99,99.51,100,826
ga,99.66,99.89,99.99,99.77,100,877
gd,99.37,99.49,99.99,99.43,99.99,791
gl,97.58,98.23,99.95,97.9,99.97,902
gn,99.23,98.8,99.98,99.01,99.99,915
gu,100,100,100,100,100,773
ha,99.64,99.76,99.99,99.7,100,837
he,99.54,99.65,99.99,99.6,99.99,864
hi,97.67,99.87,99.97,98.76,99.98,757
hr,94.34,98.93,99.92,96.58,99.93,842
ht,99.49,100,99.99,99.74,99.99,976
hu,99.78,99.24,99.99,99.51,100,918
hy,100,98.56,99.98,99.27,100,903
id,96.97,99.88,99.96,98.4,99.96,864
ig,99.63,100,100,99.81,100,806
is,99.87,99.87,100,99.87,100,745
it,97.61,95.54,99.92,96.56,99.97,896
ja,98.96,97.94,100,98.45,100,97
jv,99.88,97.25,99.97,98.55,100,836
ka,100,99.33,99.99,99.66,100,891
kk,100,98.72,99.99,99.36,100,781
km,48.01,100,99.81,64.88,99.81,133
kn,99.87,100,100,99.93,100,763
ko,95.8,100,99.95,97.86,99.95,867
ku,99.64,99.15,99.99,99.39,100,827
ky,99.88,98.85,99.99,99.36,100,869
lg,100,99.38,99.99,99.69,100,649
li,98.12,99.21,99.98,98.66,99.98,632
ln,99.04,97.04,99.96,98.03,99.99,743
lo,99.57,94.11,99.96,96.76,100,492
lt,99.89,98.27,99.98,99.07,100,923
lv,100,99.66,100,99.83,100,873
mg,99.84,99.84,100,99.84,100,612
mk,99.89,99.54,99.99,99.71,100,878
ml,100,99.65,100,99.83,100,573
mn,100,99.73,100,99.87,100,749
mr,100,99.83,100,99.91,100,586
my,100,92.11,99.99,95.89,100,76
ne,100,98.09,99.99,99.03,100,575
nl,97.74,98.04,99.96,97.89,99.98,662
om,100,99.88,100,99.94,100,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.22,99.22,99.97,98.72,99.98,892
ps,100,98.97,100,99.48,100,97
pt,97.19,98.63,99.95,97.9,99.97,876
qu,98.53,95.86,99.95,97.18,99.99,700
rm,99.87,99.46,99.99,99.66,100,745
ro,99.67,99.33,99.99,99.5,100,899
ru,95.77,96.2,99.9,95.98,99.95,894
sa,100,98.59,99.99,99.29,100,640
sd,100,97.06,100,98.51,100,34
si,99.51,100,100,99.75,100,605
sk,99.55,98.21,99.97,98.88,99.99,896
sl,99.31,98.19,99.97,98.75,99.99,882
so,99.87,94,99.93,96.84,100,800
sq,99.76,99.39,99.99,99.57,100,825
sr,100,93.63,99.93,96.71,100,864
su,100,99.22,99.99,99.61,100,903
sv,99.63,99.75,99.99,99.69,100,808
sw,99.48,99.87,99.99,99.67,99.99,764
ta,100,99.86,100,99.93,100,740
te,100,100,100,100,100,773
th,88.67,100,99.95,94,99.95,274
tl,100,99.75,100,99.87,100,785
tn,99.65,98.83,99.98,99.24,100,854
tr,96.71,99.28,99.95,97.98,99.96,830
ug,100,92.68,99.99,96.2,100,82
uk,99.66,95.73,99.94,97.66,100,914
ur,100,100,100,100,100,180
uz,100,99.08,99.99,99.54,100,764
vi,99.75,99.87,100,99.81,100,792
wo,99.66,95.77,99.94,97.67,100,921
xh,100,99.62,100,99.81,100,799
yi,99.62,99.25,99.99,99.44,100,798
yo,99.7,96.4,99.96,98.02,100,694
zh,96.43,100,100,98.18,100,81
Micro,98.73,98.72,99.98,98.72,99.99,74564
Macro,98.54,98.66,99.97,98.49,99.99,74564
