,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,sn,"Munhu wakaita gurudza, wakaangirira kuuyirwa nokuuyirwa metsa waita gurudza gurutu: The man became rich and prospered more and more, until he had become very wealthy indeed. (Genesis 26:13 Bhaibheri reChiNdau)."
,it,"Nella musica si ricordano fra le tante: New York, New York di Frank Sinatra, Welcome to NYC ed Empire State of Mind di Jay-Z, Welcome to New York di Taylor Swift, New York City Serenade di Bruce Springsteen, New York di Bryan Adams, Harlem di Duke Ellington, Angel of Harlem degli U2, Leaving New York dei R.E.M., Shattered dei Rolling Stones e I Love New York di Madonna."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
,so,"je - meeleeye; Preni iun je la mano (= lia), per la mano (= sia).Konduki iun je la nazo. (je estas rolvorteto sen difinita signifo. Ĝenerale oni evitu je, se pli bona alternativo ekzistas.)"
,fr,"Inscriptions antiques des Pyrénées. Hitzaurrea M. Albert Lebèguek eginda. Tolosa, XII-576p. (Bibliothèque méridionale. 2e série,1892. ; 2). Berrargitalpena fakzimilean, Tolosa, ESPER, 1990."
,mk,"Г'л'бово, Босилково, Вишнево, В'лчан Дол, Глогино, Давидково, Две Тополи, Дебелјаново, Дрјанка, Загражден, Крстатица, Баните, Малка Арда, Малко Крушево, Орјаховец, Планинско, Рибен Дол, Сливка, Стрница Траве"
,bg,"Walter Benjamin: Briefe an Siegfried Kracauer. Mit 4 Briefen von Siegfried Kracauer an Walter Benjamin. Marbach am Neckar: Dt. Schillergesellschaft, 1987."
,ru,"Ильин, Б. Время идет, а подвиги остаются / Б. Ильин // Льновод. — 1998. — 27 нояб. — С. 2. — О Михаиле Петровиче Минине — участнике штурма Берлина."
,ca,"Els talpurs fou una dinastia que va governar al Sind del 1783 al 1843 i només a Khairpur sota protectorat britànic entre 1843 i 1947, i dins del Pakistan fins al 1955."
