language,precision,recall,accuracy,f1-score,specificity,samples
af,100,99.14,99.99,99.57,100,813
am,100,100,100,100,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,100,100,100,100,100,636
az,100,99.13,99.99,99.56,100,805
be,99.78,96.02,99.94,97.86,100,929
bg,100,98.51,99.98,99.25,100,872
bn,98.71,100,99.99,99.35,99.99,612
ca,99.29,97.01,99.95,98.14,99.99,869
cs,99.44,99.33,99.98,99.38,99.99,893
cy,99.6,99.87,99.99,99.74,100,756
da,100,98.03,99.97,99.01,100,863
de,96.26,98.62,99.92,97.42,99.94,939
el,100,99.89,100,99.94,100,882
en,95.53,99.13,99.78,97.3,99.8,2631
es,97.55,96.37,99.92,96.95,99.97,908
et,100,98.76,99.98,99.38,100,805
fa,100,100,100,100,100,11
fi,99.76,99.64,99.99,99.7,100,835
fr,97.55,96.64,99.89,97.09,99.95,1278
ga,99.89,99.89,100,99.89,100,877
gl,96.43,98.78,99.93,97.59,99.95,902
gu,100,100,100,100,100,773
ha,99.76,99.76,99.99,99.76,100,837
he,100,100,100,100,100,864
hi,99.34,100,99.99,99.67,99.99,757
hr,94.26,99.52,99.92,96.82,99.92,842
hu,99.46,99.56,99.99,99.51,99.99,918
hy,100,98.67,99.98,99.33,100,903
id,97.51,99.88,99.96,98.68,99.97,864
ig,99.63,100,100,99.81,100,806
is,99.87,100,100,99.93,100,745
it,96.93,95.2,99.89,96.06,99.96,896
ja,98.96,97.94,100,98.45,100,97
jv,99.76,97.49,99.96,98.61,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.74,99.36,99.99,99.55,100,781
km,67.51,100,99.9,80.61,99.9,133
kn,99.87,100,100,99.93,100,763
ko,98.52,100,99.98,99.26,99.98,867
ky,99.88,98.85,99.98,99.36,100,869
lb,98.28,97.79,99.95,98.03,99.98,816
lg,100,99.54,100,99.77,100,649
ln,99.86,97.17,99.97,98.5,100,743
lo,99.57,94.11,99.95,96.76,100,492
lt,99.67,98.7,99.98,99.18,100,923
lv,100,99.89,100,99.94,100,873
mi,100,99.69,100,99.84,100,959
mk,100,99.43,99.99,99.71,100,878
ml,100,99.83,100,99.91,100,573
mn,100,100,100,100,100,749
mr,99.83,100,100,99.91,100,586
mt,100,99.44,99.99,99.72,100,898
my,100,97.37,100,98.67,100,76
ne,100,98.78,99.99,99.39,100,575
nl,98.64,98.64,99.97,98.64,99.99,662
oc,95.17,97.73,99.92,96.43,99.95,705
om,99.88,99.88,100,99.88,100,836
or,100,100,100,100,100,660
pa,100,99.87,100,99.94,100,771
pl,98.34,99.78,99.97,99.05,99.98,892
ps,100,98.97,100,99.48,100,97
pt,97.83,97.72,99.94,97.77,99.97,876
ro,99.22,99.56,99.98,99.39,99.99,899
ru,92.07,98.66,99.86,95.25,99.88,894
sd,100,97.06,100,98.51,100,34
sk,99.55,99.44,99.99,99.5,99.99,896
sl,99.66,98.98,99.98,99.32,100,882
sn,99.82,94.78,99.95,97.23,100,575
so,99.74,97.5,99.97,98.61,100,800
sr,99.88,94.1,99.92,96.9,100,864
sv,99.14,99.5,99.98,99.32,99.99,808
sw,99.87,99.61,99.99,99.74,100,764
ta,100,100,100,100,100,740
te,100,100,100,100,100,773
tg,99.89,96.03,99.94,97.92,100,906
th,89.54,100,99.95,94.48,99.95,274
tl,99.87,99.36,99.99,99.62,100,785
tr,96.4,99.88,99.95,98.11,99.95,830
uk,99.56,98.47,99.97,99.01,99.99,914
ur,100,100,100,100,100,180
uz,99.87,99.21,99.99,99.54,100,764
vi,99.87,100,100,99.94,100,792
wo,99.66,96.53,99.95,98.07,100,921
xh,100,98.75,99.98,99.37,100,799
yo,99.85,96.4,99.96,98.09,100,694
zh,100,100,100,100,100,81
Micro,98.79,98.79,99.97,98.79,99.99,65065
Macro,98.73,98.83,99.97,98.73,99.99,65065
