,hr,"Mekinjiš ima 303 stanovnika (2001.). Mađari su većina, a Nijemaca je desetina sela, a u selu je i nešto Roma. Nešto manje od 2/3 sela su rimokatolici, 16% je luterana, 11% je kalvinista te ostali."
,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,bs,"Modernizovana verzija Leopard 2 tenka, modernizovana s ciljem da se po taktičko-tehničkim karakteristikama približi modernijim verzijama. Najvažnija je ugradnja termovizije, povećanje oklopne zaštite."
,bs,"Suprotno uvriježenom mišljenju, velika većina filma je snimljena u Hollywoodu. Opsežan broj vanjskih setova se koristio, ali većina scena ustvari se snimala na pozornicama Hollywooda, i na pozadini sedam glavnih studija, uključujući RKO-Pathé, RKO, Universal-International, Warner Bros, Columbia i 20th Century Fox."
,bs,"Reakcioni presjek σ je mjera vjerovatnoće fuzione reakcije kao funkcije relativnog ubrzanja dva reagirajuća jezgra. Ukoliko reagirajuća jezgra imaju raspodjelu ubrzanja, naprimjer, termička distribucija sa termonuklearnom fuzijom, tada je korisno izvesti jedan prosjek raspodjele presjeka proizvoda i brzine. Reakcioni odnos (fuzija po obimu za vrijeme) je σv puta proizvod brojčane gustoće reaktanata:"
,sn,"Munhu wakaita gurudza, wakaangirira kuuyirwa nokuuyirwa metsa waita gurudza gurutu: The man became rich and prospered more and more, until he had become very wealthy indeed. (Genesis 26:13 Bhaibheri reChiNdau)."
,it,"Nella musica si ricordano fra le tante: New York, New York di Frank Sinatra, Welcome to NYC ed Empire State of Mind di Jay-Z, Welcome to New York di Taylor Swift, New York City Serenade di Bruce Springsteen, New York di Bryan Adams, Harlem di Duke Ellington, Angel of Harlem degli U2, Leaving New York dei R.E.M., Shattered dei Rolling Stones e I Love New York di Madonna."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
,so,"je - meeleeye; Preni iun je la mano (= lia), per la mano (= sia).Konduki iun je la nazo. (je estas rolvorteto sen difinita signifo. Ĝenerale oni evitu je, se pli bona alternativo ekzistas.)"
,hr,"Colvin je rođen u vojnoj bazi Fort Lee, Virginia, gdje su mu roditelji doselili iz Berlina. Njegov je otac bio američki vojnik stacioniran u Berlinu, a majka Njemica. Roditelji su mu se rastali u njegovom prijelaznom periodu iz dječaka u mladića te je Colvin sa sestrom i majkom živio u Berlinu do svoje petnaeste godine, kada su svi preselili u Forest Hills, općinu New Yorka u četvrti Queens. Tamo je sreo Johna Cummingsa i Thomasa Erdelyija (kasnije poznati kao Johnny i Tommy ''''Ramone''''), s kojima je svirao u sastavu imena The Tangerine Puppets, nazvanom prema Donovanovoj skladbi."
,hu,"Nošovice település Csehországban, a Frýdek-místeki járásban. Nošovice Frýdek-Místek, Vojkovice, Pazderna, Nižní Lhoty, Dobratice, Horní Domaslavice és Dobrá településekkel határos. Lakosainak száma 1030 fő (2017. jan. 1.)."
,bs,"Kamešnica je nastavak Dinarskog lanca planina, obiluje geotektonskim pojavama kao što su vrtače, spilje, dolci, zaravni. S južne, Hrvatske strane s koje se pristupa cestom Sinj - Otok - Korita - Gornja korita dolazi se na 800 m nadmorske visine, planinarski put dalje vodi čistom, goletnom padinom do vrha Kamešnica, Kurljaj 1009 m koji se nalazi u sastavu Republike Hrvatske, put dalje vodi planinskim vrhuncima, par kilometara do vrha Konj koji je ujedno i najviši vrh Kamešnice u sastavu BiH."
,hr,"Na mjestu današnjeg Mekinjiša je bilo jedno ranije racko selo, koje je bilo razoreno, a nalazilo se u dolini između Hajmaša i iza današnjeg sela. Današnje selo je primilo njegovo ime."
,mk,"Г'л'бово, Босилково, Вишнево, В'лчан Дол, Глогино, Давидково, Две Тополи, Дебелјаново, Дрјанка, Загражден, Крстатица, Баните, Малка Арда, Малко Крушево, Орјаховец, Планинско, Рибен Дол, Сливка, Стрница Траве"
,ms,"Puncak Jaya atau Gunung Carstensz merupakan sebuah gunung yang terdapat di pulau Papua Barat, Indonesia. Dengan ketinggian 4,884 meter. Gunung ini yang dulu pernah bernama Puntjak Soekarno adalah salah satu dari Tujuh Puncak Utama dunia. Gunung tertinggi pulau New Guinea ini juga merupakan gunung tertinggi di Indonesia dan Oceania."
,hr,"Himna je potvrđena u Ustavu Crne Gore koji je donesen 19. listopada 2007., a proglašen 22. listopada 2007. godine. 12. srpnja 2004. donesen je Zakon o državnim simbolima i Danu državnosti Crne Gore, koji je stupio na snagu 13. srpnja 2004. na sam Dan državnosti kada je himna izvedena po prvi put."
