,sa,"८. स्वायत्तक्षेत्रपक्षतः (Private Sector) अभियानेऽस्मिन् योगदानाय योग्यं वातावरणं निर्मातव्यं, येन धनव्ययार्थम्, अपशिष्टसङ्कलनकार्यस्य क्रियान्वयाय, अनुसंरक्षणाय (Maintenance) च सहायता भवेत् ।"
,av,"We are seeking your involvement to decide if the global Wikimedia community approves starting a banner campaign asking Wikipedia readers to call on the Syrian government to release Bassel from prison. We understand that a campaign like this would be unprecedented in Wikipedia's history, which is why we're seeking the widest possible consensus among the community."
,co,"The Hard Way (in francese: La Manière forte, corsu: ''''A manera forte'''') hè un filmu cumedia americanu di u 1991 cù Michael J. Fox è James Woods."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Двина-Печора су бассейны округында урнашкан, су хуҗалыгы участогы — Баренцев диңгезе бассейны елгалары Канин борынынан Печора елгасы бассейнына чаклы. Кече елга бассейны — бассейны юк, елга бассейны — Печора һәм Мезень елгалары арасындагы, Баренец диңгезенә коючы, елгалар бассейны."
,sc,"Su Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, jamada comunemente Cefet-RJ, est una universidade cun sa sede in Rio de Janeiro, in Brasile."
,it,"4 Tunçeri, 5 Türkoğlu, 6 Türkcan, 7 Köseoğlu, 8 Pars, 9 Erdenay, 10 Kutluay, 11 Peker, 12 Beşok, 13 Okur, 14 Yıldırım, 15 Onan, All. Aydın ÖrsCampionato mondiale maschile di pallacanestro 2006"
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Югары Об су бассейны округында урнашкан, су хуҗалыгы участогы — Кеть елгасы. Кече елга бассейны — (Югары) Об кушылдыклары бассейны, Чулымдан Кеть елгасына кадәр, елга бассейны — (Югары) Об, Иртеш кушылганга кадәр."
,tt,"Бирюкса — Русия территориясеннән ага торган елга. Алтай Республикасы, Алтай крае биләмәләрендә ага. Елга Каменка елгасына кушылып, аның кушылдыгы булып тора. Елга озынлыгы 43 км."
,tt,"Көньяк Расья — Русия территориясеннән ага торган елга. Коми Республикасы биләмәләрендә ага. Елга Төньяк Расья елгасына кушылып, аның кушылдыгы булып тора. Елга озынлыгы 10 км."
,tt,"Джеймс Кук (ингл. James Cook, 7 ноябрь, 1728 ел, Мартон (Йоркшир) – 14 февраль, 1779 ел Гавайлар) – Англия географы, сәяхәтчесе. Дөнья океаның өйрәнү өчен 3 экспедициядә катнаша, шуның икесе Җир шары тирәли сәяхәтләр була. Экспедицияләр вакытында күп географик ачышларны эшли. Канаданың, Австралиянең, Яңа Зеландиянең көнчыгыш ярларын, Ньюфаундленд, Төньяк Америка, Тын, Һинд һәм Атлантик океаннарны гизә, аларны өйрәнә һәм харитага төшерә."
,es,"Mayoritariamente la población caldense es mestiza y blanca, los pueblos y asentamientos indígenas ocupan el segundo lugar y por último las comunidades afro descendientes."
,it,"Nella musica si ricordano fra le tante: New York, New York di Frank Sinatra, Welcome to NYC ed Empire State of Mind di Jay-Z, Welcome to New York di Taylor Swift, New York City Serenade di Bruce Springsteen, New York di Bryan Adams, Harlem di Duke Ellington, Angel of Harlem degli U2, Leaving New York dei R.E.M., Shattered dei Rolling Stones e I Love New York di Madonna."
,tg,"Вызго Т. С., Музыкальные инструменты Средней Азии //Исторические очерки, М., 1980; Петросян А. И., Инструментовидение// Узбекские народные инструменты, Т., 1980; Ҷумъаев Ҳ., Охунов Ҷ., Дарси ғижак, Д., 1983."
,so,"je - meeleeye; Preni iun je la mano (= lia), per la mano (= sia).Konduki iun je la nazo. (je estas rolvorteto sen difinita signifo. Ĝenerale oni evitu je, se pli bona alternativo ekzistas.)"
,av,"К 500 г. Библия была переведена более чем на 500 языков, а столетие спустя, в 600 г., использование Библии в Западной Европе было ограничено лишь Вульгатой. Это было связано с доминированием Римско-католической церкви, которое продолжалось около 1000 лет до начала Реформации."
,cv,"Прахов А. В. Воспоминания о Врубеле // Московская городская художественная галерея П. М. и С. М. Третьяковых / Под общ. ред. И. С. Остроухова. — М., 1909. — Кн. 1, ч. 2. — С. 157—168."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Чулман бассейн округында урнашкан. Кече елга бассейны — Чулман кушылдыклары бассейны Агыйдел кушылганчы, елга бассейны — Чулман."
,tt,"Русия дәүләт су реестры мәгълүматы буенча елга Иртеш су бассейны округында урнашкан, су хуҗалыгы участогы — Тауда елгасының, инештән тамагына чаклы, инештән алып Морозко авылы янындагы су үлсәү постына чаклы Сосьва елгасын кертмичә. Кече елга бассейны — Тубыл, елга бассейны — Иртеш."
,sc,"Por homo vere civilizita, filozofo o yuristo, la konoco di Latina esas dezirinda, ma linguo internaciona esas utila por la komunikado moderna de un lando al altra."
,br,"Hojas de Madrid con La galerna, Galaxia Gutenberg-Círculo de Lectores, Barcelona, 2010. Edición de Sabina de la Cruz, prólogo de Mario Hernández."
,ku,"Otobuse gama ke ro binê Pirdê Ofîse serecêr bîye, o xorto ke hetê peyî de ronişte bi, êdî ey sey nezaketî cayê xo dabi yewna û serecêrbîyayîşê otobuse reyde o zî ver bi hetê kêneke wa lêr bîyînî. Dingo verên ê Koşuyoluyî de ke qismêkê raywanan amey war û tay zî weniştî, o hengame de seke o zî ca bido xo, ey nat û wet kerd, axir xo resna verê kêneke. Gama ke otobuse firên kerd, seke bê hemdê ey bo, bi o qayde ey heme gewdeyê xo dusna gewdeyê kêneke wa…"
,nl,"In 1998 kwam de directors cut-versie van Das Boot uit. In 2000 volgde The Perfect Storm, met een hoofdrol voor George Clooney, en in 2004 Troy, met Brad Pitt in de hoofdrol."
,es,"La ciudad ocupa una estrecha franja de tierra a lo largo de la costa oriental de la bahía de Manila. Navotas está situada al norte de Manila, al oeste de Malabón, y al sur de Obando en Bulacan."
,fr,"Inscriptions antiques des Pyrénées. Hitzaurrea M. Albert Lebèguek eginda. Tolosa, XII-576p. (Bibliothèque méridionale. 2e série,1892. ; 2). Berrargitalpena fakzimilean, Tolosa, ESPER, 1990."
,it,"Sinä ansaitset kultaa (in finlandese: ''''Ti meriti oro'''') è un singolo del cantante schlager finlandese Jari Sillanpää, pubblicato nell'ottobre 2014."
,mk,"Г'л'бово, Босилково, Вишнево, В'лчан Дол, Глогино, Давидково, Две Тополи, Дебелјаново, Дрјанка, Загражден, Крстатица, Баните, Малка Арда, Малко Крушево, Орјаховец, Планинско, Рибен Дол, Сливка, Стрница Траве"
,ms,"Puncak Jaya atau Gunung Carstensz merupakan sebuah gunung yang terdapat di pulau Papua Barat, Indonesia. Dengan ketinggian 4,884 meter. Gunung ini yang dulu pernah bernama Puntjak Soekarno adalah salah satu dari Tujuh Puncak Utama dunia. Gunung tertinggi pulau New Guinea ini juga merupakan gunung tertinggi di Indonesia dan Oceania."
,ms,"Mekanisme arus udaranya adalah egresif pulmonik, iaitu disebut dengan menolak udara keluar dari paru-paru melalui saluran vokal, dan bukannya dari glotis atau mulut."
