language,precision,recall,accuracy,f1-score,specificity,samples
af,99.88,100,100,99.94,100,813
am,100,97.96,100,98.97,100,98
ar,98.43,99.6,99.99,99.01,99.99,251
as,100,100,100,100,100,636
az,100,98.76,99.99,99.38,100,805
be,99.78,97.2,99.96,98.47,100,929
bg,99.42,98.97,99.98,99.2,99.99,872
bn,98.23,100,99.99,99.11,99.99,612
br,99.88,99.27,99.99,99.57,100,825
bs,63.22,54.91,99.15,58.77,99.64,845
ca,99.19,98.5,99.97,98.85,99.99,869
cs,99.55,99.22,99.99,99.38,99.99,893
cy,99.74,100,100,99.87,100,756
da,99.53,98.96,99.98,99.24,99.99,863
de,96.68,99.15,99.95,97.9,99.96,939
el,100,99.77,100,99.89,100,882
en,95.73,98.94,99.81,97.31,99.84,2631
eo,92.73,99.88,99.91,96.17,99.91,855
es,91.23,98.57,99.87,94.76,99.89,908
et,99.87,98.76,99.99,99.31,100,805
eu,99.79,99.68,99.99,99.74,100,947
fa,100,100,100,100,100,11
fi,100,99.4,99.99,99.7,100,835
fr,97.33,99.69,99.95,98.49,99.95,1278
fy,100,99.15,99.99,99.57,100,826
ga,99.66,99.66,99.99,99.66,100,877
gd,99.75,99.49,99.99,99.62,100,791
gl,98.89,98.67,99.97,98.78,99.99,902
gn,99.89,98.25,99.98,99.06,100,915
gu,100,99.87,100,99.94,100,773
ha,99.76,99.76,99.99,99.76,100,837
he,99.54,99.65,99.99,99.6,99.99,864
hi,97.3,100,99.97,98.63,99.97,757
hr,59.48,70.07,99.14,64.34,99.47,842
ht,99.9,100,100,99.95,100,976
hu,100,98.26,99.98,99.12,100,918
hy,100,98.45,99.98,99.22,100,903
id,77.66,98.96,99.67,87.02,99.67,864
ig,99.38,99.63,99.99,99.5,99.99,806
is,99.87,99.87,100,99.87,100,745
it,97.72,95.76,99.92,96.73,99.97,896
ja,100,97.94,100,98.96,100,97
jv,99.76,97.49,99.97,98.61,100,836
ka,100,99.33,99.99,99.66,100,891
kk,99.87,99.49,99.99,99.68,100,781
km,96.38,100,99.99,98.15,99.99,133
kn,99.87,100,100,99.93,100,763
ko,99.88,100,100,99.94,100,867
ku,99.88,99.15,99.99,99.51,100,827
ky,99.77,98.73,99.98,99.25,100,869
lg,99.54,99.54,99.99,99.54,100,649
li,97.81,99.05,99.97,98.43,99.98,632
ln,99.86,97.04,99.97,98.43,100,743
lo,100,94.11,99.96,96.96,100,492
lt,100,98.16,99.98,99.07,100,923
lv,100,99.77,100,99.89,100,873
mg,100,99.84,100,99.92,100,612
mk,99.32,99.54,99.99,99.43,99.99,878
ml,100,99.65,100,99.83,100,573
mn,100,100,100,100,100,749
mr,99.83,99.83,100,99.83,100,586
ms,98.43,74.2,99.7,84.62,99.99,845
my,100,88.16,99.99,93.71,100,76
ne,99.82,97.91,99.98,98.86,100,575
nl,96.91,99.55,99.97,98.21,99.97,662
om,100,99.76,100,99.88,100,836
or,100,99.85,100,99.92,100,660
pa,100,99.87,100,99.94,100,771
pl,98.33,98.88,99.97,98.6,99.98,892
ps,100,98.97,100,99.48,100,97
pt,97.53,98.97,99.96,98.24,99.97,876
qu,99.4,95,99.95,97.15,99.99,700
rm,99.87,99.33,99.99,99.6,100,745
ro,99.89,99.56,99.99,99.72,100,899
ru,92.81,99.66,99.91,96.12,99.91,894
sa,100,98.44,99.99,99.21,100,640
sd,100,97.06,100,98.51,100,34
si,99.67,100,100,99.83,100,605
sk,99.77,98.55,99.98,99.16,100,896
sl,99.77,97.96,99.97,98.86,100,882
so,100,93.88,99.94,96.84,100,800
sq,99.76,99.76,99.99,99.76,100,825
sr,100,93.87,99.93,96.84,100,864
su,100,98.89,99.99,99.44,100,903
sv,99.63,99.75,99.99,99.69,100,808
sw,99.48,99.74,99.99,99.61,99.99,764
ta,100,99.59,100,99.8,100,740
te,100,100,100,100,100,773
th,89.84,100,99.96,94.65,99.96,274
tl,99.75,99.87,100,99.81,100,785
tn,99.53,98.95,99.98,99.24,99.99,854
tr,96.49,99.28,99.95,97.86,99.96,830
ug,100,92.68,99.99,96.2,100,82
uk,99.67,98.58,99.98,99.12,100,914
ur,100,100,100,100,100,180
uz,100,99.08,99.99,99.54,100,764
vi,100,99.75,100,99.87,100,792
wo,99.89,95.55,99.94,97.67,100,921
xh,100,98.12,99.98,99.05,100,799
yi,99.62,99.25,99.99,99.44,100,798
yo,99.54,94.52,99.95,96.97,100,694
zh,98.78,100,100,99.39,100,81
Micro,97.8,97.8,99.96,97.8,99.98,76254
Macro,98.19,97.79,99.96,97.93,99.98,76254
