Multilingual Webpages dataset - Thresholds
Threshold,Type,Precision,Recall,Accuracy,F1,Specificity
0.6,Macro,81.54,88.13,99.02,82.43,99.77
0.6,Micro,96.16,79.58,99.55,87.09,99.94
0.7,Macro,82.22,85.44,98.66,81.42,99.82
0.7,Micro,96.27,70.68,99.38,81.52,99.95
0.8,Macro,83.5,80.8,98.31,79.2,99.86
0.8,Micro,96.5,61.95,99.23,75.46,99.96
0.9,Macro,79.88,73.32,98.01,72.7,99.87
0.9,Micro,96.55,54.37,99.09,69.56,99.96

FLORES+ dataset - Thresholds
Threshold,Type,Precision,Recall,Accuracy,F1,Specificity
0.6,Macro,99.37,98.95,99.98,99.07,99.99
0.6,Micro,98.3,98.53,99.97,98.42,99.98
0.7,Macro,99.44,98.93,99.98,99.09,99.99
0.7,Micro,98.39,98.51,99.97,98.45,99.98
0.8,Macro,99.49,98.91,99.98,99.11,99.99
0.8,Micro,98.45,98.49,99.97,98.47,99.98
0.9,Macro,99.54,98.88,99.98,99.12,100
0.9,Micro,98.51,98.47,99.97,98.49,99.99
