Table 2: Performances on the different ldw datasets

Precision
Dataset,type,ldw1k,ldw2k,ldw5k,ldw10k,ldw20k
WiLI,Macro,98.04,98.2,98.54,98.73,98.94
WiLI,Micro,97.88,98.34,98.73,98.86,98.96
FLORES+,Macro,98.64,98.9,99.35,99.5,99.61
FLORES+,Micro,97.23,97.74,98.31,98.47,98.59
Tatoeba,Macro,62.21,62.45,66.11,68.37,69.52
Tatoeba,Micro,89.53,90.44,92.54,93.94,94.84
OpenSubtitles,Macro,94.4,94.37,94.59,94.51,94.22
OpenSubtitles,Micro,94.42,94.1,94.27,94.3,94.34

Recall
Dataset,type,ldw1k,ldw2k,ldw5k,ldw10k,ldw20k
WiLI,Macro,97.93,98.33,98.66,98.79,98.92
WiLI,Micro,97.84,98.32,98.72,98.86,98.95
FLORES+,Macro,96.97,97.66,98.42,98.69,98.85
FLORES+,Micro,96.6,97.29,98.03,98.28,98.44
Tatoeba,Macro,80.14,82.89,86.73,88.92,90.26
Tatoeba,Micro,87.11,88.7,91.43,93.17,94.29
OpenSubtitles,Macro,91.59,91.99,92.55,92.83,92.94
OpenSubtitles,Micro,92.28,92.69,93.27,93.62,93.84

Accuracy
Dataset,type,ldw1k,ldw2k,ldw5k,ldw10k,ldw20k
WiLI,Macro,99.96,99.97,99.97,99.98,99.98
WiLI,Micro,99.96,99.97,99.98,99.98,99.98
FLORES+,Macro,99.95,99.96,99.97,99.98,99.98
FLORES+,Micro,99.94,99.95,99.96,99.97,99.97
Tatoeba,Macro,99.77,99.79,99.84,99.87,99.89
Tatoeba,Micro,99.78,99.8,99.85,99.88,99.89
OpenSubtitles,Macro,99.84,99.84,99.85,99.85,99.86
OpenSubtitles,Micro,99.87,99.87,99.88,99.88,99.89

F1-Score
Dataset,type,ldw1k,ldw2k,ldw5k,ldw10k,ldw20k
WiLI,Macro,97.64,98.05,98.49,98.7,98.9
WiLI,Micro,97.86,98.33,98.72,98.86,98.95
FLORES+,Macro,97.56,98.11,98.77,98.99,99.14
FLORES+,Micro,96.91,97.51,98.17,98.38,98.52
Tatoeba,Macro,62.3,63.4,67.59,70.28,71.93
Tatoeba,Micro,88.3,89.56,91.98,93.55,94.56
OpenSubtitles,Macro,90.49,90.55,90.95,90.97,91.03
OpenSubtitles,Micro,93.34,93.39,93.77,93.96,94.09

Specificity
Dataset,type,ldw1k,ldw2k,ldw5k,ldw10k,ldw20k
WiLI,Macro,99.98,99.98,99.99,99.99,99.99
WiLI,Micro,99.98,99.98,99.99,99.99,99.99
FLORES,Macro,99.98,99.99,99.99,99.99,100
FLORES,Micro,99.97,99.98,99.98,99.99,99.99
Tatoeba,Macro,99.9,99.91,99.93,99.94,99.95
Tatoeba,Micro,99.9,99.91,99.93,99.94,99.95
OpenSubtitles,Macro,99.94,99.93,99.93,99.93,99.94
OpenSubtitles,Micro,99.95,99.94,99.94,99.94,99.94
